"troph","FD.metric","state.metric","median.cor","nsig","prop.sig"
"Phytoplankton","FDis","Community","-0.068 ± 0.034",3,0.6
"Phytoplankton","FDis","Density","-0.402 ± 0.062",4,0.8
"Phytoplankton","FDis","FI","0.005 ± 0.038",2,0.4
"Phytoplankton","FDis","MVI","-0.072 ± 0.035",1,0.2
"Phytoplankton","FDis","Z_P.ratio","0.29 ± 0.059",4,0.8
"Phytoplankton","FEve","Community","0.016 ± 0.019",1,0.2
"Phytoplankton","FEve","Density","-0.22 ± 0.042",4,0.8
"Phytoplankton","FEve","FI","0.081 ± 0.037",2,0.4
"Phytoplankton","FEve","MVI","-0.059 ± 0.015",1,0.2
"Phytoplankton","FEve","Z_P.ratio","0.079 ± 0.028",2,0.4
"Phytoplankton","FRic","Community","-0.051 ± 0.059",2,0.4
"Phytoplankton","FRic","Density","0.157 ± 0.016",2,0.4
"Phytoplankton","FRic","FI","-0.197 ± 0.026",3,0.6
"Phytoplankton","FRic","MVI","0.106 ± 0.021",1,0.2
"Phytoplankton","FRic","Z_P.ratio","-0.127 ± 0.006",0,0
"Zooplankton","FDis","Community","0.075 ± 0.042",3,0.6
"Zooplankton","FDis","Density","0.039 ± 0.028",1,0.2
"Zooplankton","FDis","FI","-0.023 ± 0.032",1,0.2
"Zooplankton","FDis","MVI","-0.02 ± 0.007",0,0
"Zooplankton","FDis","Z_P.ratio","-0.2 ± 0.023",3,0.6
"Zooplankton","FEve","Community","0.026 ± 0.025",2,0.4
"Zooplankton","FEve","Density","-0.087 ± 0.019",1,0.2
"Zooplankton","FEve","FI","0.012 ± 0.029",1,0.2
"Zooplankton","FEve","MVI","-0.056 ± 0.003",0,0
"Zooplankton","FEve","Z_P.ratio","-0.128 ± 0.037",3,0.6
"Zooplankton","FRic","Community","0.114 ± 0.02",1,0.2
"Zooplankton","FRic","Density","0.02 ± 0.026",0,0
"Zooplankton","FRic","FI","-0.077 ± 0.027",1,0.2
"Zooplankton","FRic","MVI","0.032 ± 0.022",0,0
"Zooplankton","FRic","Z_P.ratio","0.023 ± 0.011",0,0
