"troph","FD.metric","state.metric","median.cor","median.lag","nsig","prop.sig"
"Phytoplankton","FDis","Community","-0.173 ± 0.048","-13 ± 4.223",2,0.4
"Phytoplankton","FDis","Density","-0.402 ± 0.078","0 ± 0.716",5,1
"Phytoplankton","FDis","FI","0.104 ± 0.057","-11 ± 3.116",3,0.6
"Phytoplankton","FDis","MVI","-0.15 ± 0.058","31 ± 4.496",2,0.4
"Phytoplankton","FDis","Z_P.ratio","0.29 ± 0.084","0 ± 0.78",4,0.8
"Phytoplankton","FEve","Community","0.124 ± 0.04","-17 ± 5.268",1,0.2
"Phytoplankton","FEve","Density","-0.22 ± 0.052","0 ± 1.734",3,0.6
"Phytoplankton","FEve","FI","0.183 ± 0.045","33 ± 6.069",2,0.4
"Phytoplankton","FEve","MVI","-0.246 ± 0.045","11 ± 6.863",3,0.6
"Phytoplankton","FEve","Z_P.ratio","0.2 ± 0.035","-1 ± 7.1",2,0.4
"Phytoplankton","FRic","Community","-0.203 ± 0.063","0 ± 8.373",2,0.4
"Phytoplankton","FRic","Density","0.162 ± 0.047","36 ± 5.977",1,0.2
"Phytoplankton","FRic","FI","-0.278 ± 0.058","-2 ± 3.976",3,0.6
"Phytoplankton","FRic","MVI","0.181 ± 0.052","0 ± 6.897",1,0.2
"Phytoplankton","FRic","Z_P.ratio","-0.135 ± 0.05","23 ± 4.235",1,0.2
"Zooplankton","FDis","Community","0.174 ± 0.059","0 ± 6.553",4,0.8
"Zooplankton","FDis","Density","-0.241 ± 0.038","0 ± 7.473",2,0.4
"Zooplankton","FDis","FI","0.213 ± 0.048","-22 ± 5.266",2,0.4
"Zooplankton","FDis","MVI","-0.206 ± 0.015","-17 ± 7.917",0,0
"Zooplankton","FDis","Z_P.ratio","-0.2 ± 0.063","0 ± 2.592",3,0.6
"Zooplankton","FEve","Community","0.131 ± 0.062","6 ± 5.941",3,0.6
"Zooplankton","FEve","Density","-0.234 ± 0.014","-12 ± 2.963",1,0.2
"Zooplankton","FEve","FI","0.159 ± 0.041","-11 ± 2.773",1,0.2
"Zooplankton","FEve","MVI","-0.203 ± 0.054","9 ± 9.802",2,0.4
"Zooplankton","FEve","Z_P.ratio","-0.128 ± 0.058","0 ± 4.11",3,0.6
"Zooplankton","FRic","Community","0.125 ± 0.059","9 ± 7.92",2,0.4
"Zooplankton","FRic","Density","-0.192 ± 0.01","-17 ± 5.946",0,0
"Zooplankton","FRic","FI","0.126 ± 0.061","21 ± 4.498",2,0.4
"Zooplankton","FRic","MVI","-0.086 ± 0.044","-7 ± 6.972",0,0
"Zooplankton","FRic","Z_P.ratio","0.182 ± 0.048","17 ± 1.497",1,0.2
