"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FDis","rmin.ccf",0.5681,-0.104341089665256,-0.107284772340917,0.00294368267566143,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.7283,21,-3,24,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.9044,0.133028222092338,0.107175681478133,0.0258525406142047,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.6518,12,-4,16,"Community","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.9896,0.100694770792063,-0.00141386730644426,0.102108638098508,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0.9111,0.133028222092338,-0.0877654304102932,0.220793652502631,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.absmax.ccf",0.6583,12,-4,16,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.645809643448523,-0.10743828780286,-0.538371355645663,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.5418,0,-4,4,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.9917,0.161882767238489,0.107756145528564,0.0541266217099244,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.4992,-6,-5,-1,"Density","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0,-0.645809643448523,-0.00136489304861051,-0.644444750399913,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.645809643448523,0.0774130981000239,-0.723222741548547,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.5571,0,-5,5,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.0386,-0.15352128202725,-0.114311823633491,-0.0392094583937591,"FI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.2938,-24,0,-24,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.829,0.133077722705754,0.114270442515269,0.0188072801904845,"FI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.5602,6,0,6,"FI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.1607,-0.0443217490764867,0.00216410156761871,-0.0464858506441054,"FI","Kinneret","Month","Phytoplankton",""
"FDis","absmax.ccf",0.0371,-0.15352128202725,0.0878150743708365,-0.241336356398086,"FI","Kinneret","Month","Phytoplankton",""
"FDis","t.absmax.ccf",0.2905,-24,0,-24,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.235902943842391,-0.100222103026654,-0.135680840815736,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.6906,11,-7,18,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.8249,0.117375401313633,0.100779845708551,0.0165955556050821,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.3404,-24,-8,-16,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.0059,-0.103232945872401,7.33493449305609e-05,-0.103306295217332,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.235902943842391,0.084013857869353,-0.319916801711744,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.7075,11,-9,20,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.0598,-0.141483564884529,-0.109755811853688,-0.0317277530308407,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.5992,6,-4,10,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",1,0.514195868389054,0.109076634232909,0.405119234156145,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.5375,0,-4,4,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",1,0.514195868389054,0.00157284502893632,0.512623023360117,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",1,0.514195868389054,-0.0926876122809069,0.60688348066996,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.545,0,-4,4,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.2719,-0.116319484016583,-0.10551518940247,-0.0108042946141133,"Community","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.851,37,-3,40,"Community","Kinneret","Month","Phytoplankton",""
