"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FDis","rmin.ccf",0,-0.352136104173661,-0.118840393345988,-0.233295710827673,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.527527527527528,6,3,3,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.012012012012012,0.000593753690146939,0.11761939456013,-0.117025640869983,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.149149149149149,-48,1,-49,"Community","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.001001001001001,-0.246437791040536,-0.00250766026926135,-0.243930130771275,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.352136104173661,-0.0958402921656221,-0.256295812008039,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.531531531531532,6,2,4,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.820565340018063,-0.119304894383497,-0.701260445634566,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.486486486486487,0,2,-2,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.005005005005005,-0.0144187812643148,0.112163249389848,-0.126582030654163,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.0880880880880881,-54,1,-55,"Density","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0,-0.820565340018063,-0.00263137856383099,-0.817933961454232,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.820565340018063,-0.101969454539508,-0.718595885478555,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.501501501501502,0,0,0,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.996996996996997,0.0091629696362557,-0.127072745664884,0.136235715301139,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",1,60,-1,61,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","rmax.ccf",1,0.438224974419288,0.129588612373108,0.308636362046181,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.464464464464464,-5,1,-6,"FI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",1,0.279091030281201,-0.00246044821631658,0.281551478497517,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",1,0.438224974419288,0.107059930134336,0.331165044284953,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.463463463463463,-5,1,-6,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.487832266118283,-0.106055920235385,-0.381776345882899,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.492492492492492,0,1,-1,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0,-0.211377227417901,0.0981024893962117,-0.309479716814112,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.768768768768769,36,3,33,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0,-0.487832266118283,-0.00302361213901971,-0.484808653979264,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.487832266118283,-0.0918240567273864,-0.396008209390897,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.482482482482482,0,3,-3,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.963963963963964,-0.0211166716234416,-0.109053915246278,0.0879372436228367,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.0800800800800801,-54,4,-58,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",1,0.70156830988553,0.11150952273007,0.590058787155461,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.486486486486487,0,2,-2,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",1,0.70156830988553,0.00311069139449498,0.698457618491035,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
