"troph","FD.metric","state.metric","mean.cor","median.cor","se","nsig","prop.sig"
"Phytoplankton","FDis","Community",0.0346,0.0865,0.0262,3,0.6
"Phytoplankton","FDis","Density",-0.33,-0.33,0.0428,4,0.8
"Phytoplankton","FDis","FI",-0.0175,0.000937,0.0144,1,0.2
"Phytoplankton","FDis","MVI",-0.109,-0.118,0.0053,3,0.6
"Phytoplankton","FDis","Z_P.ratio",0.217,0.242,0.0414,3,0.6
"Phytoplankton","FEve","Community",-0.00551,-0.0376,0.015,0,0
"Phytoplankton","FEve","Density",-0.13,-0.108,0.0126,4,0.8
"Phytoplankton","FEve","FI",0.0524,0.0594,0.00743,0,0
"Phytoplankton","FEve","MVI",-0.0152,-0.000882,0.00815,0,0
"Phytoplankton","FEve","Z_P.ratio",0.0974,0.0467,0.0197,2,0.4
"Phytoplankton","FRic","Community",0.0609,0.117,0.0433,4,0.8
"Phytoplankton","FRic","Density",0.18,0.186,0.0109,5,1
"Phytoplankton","FRic","FI",-0.14,-0.105,0.0272,2,0.4
"Phytoplankton","FRic","MVI",0.0463,0.0457,0.00937,0,0
"Phytoplankton","FRic","Z_P.ratio",-0.0832,-0.0676,0.0109,1,0.2
"Zooplankton","FDis","Community",-0.0615,-0.0382,0.0386,2,0.5
"Zooplankton","FDis","Density",-0.0125,0.00961,0.032,2,0.5
"Zooplankton","FDis","FI",0.0121,0.0111,0.00811,0,0
"Zooplankton","FDis","MVI",0.0218,0.0355,0.0238,1,0.25
"Zooplankton","FDis","Z_P.ratio",-0.179,-0.269,0.0701,4,1
"Zooplankton","FEve","Community",0.00265,-0.017,0.0162,1,0.25
"Zooplankton","FEve","Density",0.0522,0.0675,0.0179,1,0.25
"Zooplankton","FEve","FI",0.034,0.0204,0.0152,1,0.25
"Zooplankton","FEve","MVI",0.058,0.0497,0.00707,0,0
"Zooplankton","FEve","Z_P.ratio",-0.157,-0.205,0.0365,3,0.75
"Zooplankton","FRic","Community",0.0286,0.0393,0.0192,1,0.25
"Zooplankton","FRic","Density",0.0221,0.0337,0.00738,0,0
"Zooplankton","FRic","FI",-0.0785,-0.0865,0.0167,2,0.5
"Zooplankton","FRic","MVI",0.000731,0.00187,0.00343,0,0
"Zooplankton","FRic","Z_P.ratio",0.0282,0.0214,0.0125,1,0.25
