"troph","FD.metric","state.metric","prop.forward","prop.reverse","prop.bidirec","prop.none","mean.lag","ref.y","ref.col"
"Phytoplankton","FDis","Community",0.2,0,0.8,0,-10.8,1.3,1.1
"Phytoplankton","FDis","Density",0,0.2,0.8,0,-21.2,1.3,1.1
"Phytoplankton","FDis","FI",0,0.8,0.2,0,31.6,1.3,1.1
"Phytoplankton","FDis","MVI",0,0,0.2,0.8,-43.2,1.3,1.1
"Phytoplankton","FDis","Z_P.ratio",0.2,0,0.8,0,-12.2,1.3,1.1
"Phytoplankton","FEve","Community",0.2,0,0.6,0.2,-0.6,1.2,1.2
"Phytoplankton","FEve","Density",0.2,0.2,0.6,0,45.2,1.2,1.2
"Phytoplankton","FEve","FI",0,0.4,0.2,0.4,15.8,1.2,1.2
"Phytoplankton","FEve","MVI",0.2,0,0,0.8,-43.4,1.2,1.2
"Phytoplankton","FEve","Z_P.ratio",0.2,0.2,0,0.6,47.4,1.2,1.2
"Phytoplankton","FRic","Community",0.2,0,0.6,0.2,-11.4,1.1,1.1
"Phytoplankton","FRic","Density",0.2,0,0.4,0.4,-2.4,1.1,1.1
"Phytoplankton","FRic","FI",0,0,0.8,0.2,-19.8,1.1,1.1
"Phytoplankton","FRic","MVI",0,0.2,0.2,0.6,3.2,1.1,1.1
"Phytoplankton","FRic","Z_P.ratio",0.2,0,0.6,0.2,-0.8,1.1,1.1
"Zooplankton","FDis","Community",0,0,0.6,0.4,-23.4,1.3,1.1
"Zooplankton","FDis","Density",0.2,0,0.6,0.2,-2,1.3,1.1
"Zooplankton","FDis","FI",0,0.6,0.2,0.2,50.4,1.3,1.1
"Zooplankton","FDis","MVI",0,0,0,1,1.8,1.3,1.1
"Zooplankton","FDis","Z_P.ratio",0,0.2,0.6,0.2,-5.6,1.3,1.1
"Zooplankton","FEve","Community",0.2,0,0.6,0.2,-7.6,1.2,1.2
"Zooplankton","FEve","Density",0,0,0.8,0.2,13.2,1.2,1.2
"Zooplankton","FEve","FI",0.2,0,0.4,0.4,43.4,1.2,1.2
"Zooplankton","FEve","MVI",0.6,0,0,0.4,-3.4,1.2,1.2
"Zooplankton","FEve","Z_P.ratio",0.2,0.4,0.4,0,-51.8,1.2,1.2
"Zooplankton","FRic","Community",0.2,0.2,0.4,0.2,-1.8,1.1,1.1
"Zooplankton","FRic","Density",0,0.2,0.8,0,2.2,1.1,1.1
"Zooplankton","FRic","FI",0.2,0.4,0.2,0.2,-15.2,1.1,1.1
"Zooplankton","FRic","MVI",0.4,0.2,0,0.4,7.6,1.1,1.1
"Zooplankton","FRic","Z_P.ratio",0,0.2,0.6,0.2,0.8,1.1,1.1
