"troph","FD.metric","state.metric","prop.forward","prop.reverse","prop.bidirec","prop.none","mean.lag"
"Phytoplankton","FDis","Community",0,0,0.2,0.8,-25.2
"Phytoplankton","FDis","Density",0,0,0.6,0.4,9.6
"Phytoplankton","FDis","FI",0,0,0.2,0.8,-22.6
"Phytoplankton","FDis","MVI",0,0,0.2,0.8,42.8
"Phytoplankton","FDis","Z_P.ratio",0,0,0.4,0.6,28.4
"Phytoplankton","FEve","Community",0,0,0.2,0.8,23.4
"Phytoplankton","FEve","Density",0,0,0.4,0.6,2
"Phytoplankton","FEve","FI",0,0,0.4,0.6,-13.2
"Phytoplankton","FEve","MVI",0,0.6,0.4,0,-11.4
"Phytoplankton","FEve","Z_P.ratio",0.2,0,0,0.8,30.8
"Phytoplankton","FRic","Community",0.4,0,0.2,0.4,-15.4
"Phytoplankton","FRic","Density",0,0.2,0,0.8,22
"Phytoplankton","FRic","FI",0,0.2,0.2,0.6,4.2
"Phytoplankton","FRic","MVI",0,0.2,0,0.8,-0.8
"Phytoplankton","FRic","Z_P.ratio",0,0,0.2,0.8,21.8
"Zooplankton","FDis","Community",0,0,0.6,0.4,10.4
"Zooplankton","FDis","Density",0.2,0.4,0,0.4,-1
"Zooplankton","FDis","FI",0,0.2,0.4,0.4,9
"Zooplankton","FDis","MVI",0,0.4,0.2,0.4,24.6
"Zooplankton","FDis","Z_P.ratio",0,0,0.4,0.6,0.4
"Zooplankton","FEve","Community",0.2,0.2,0.4,0.2,-19
"Zooplankton","FEve","Density",0.4,0,0.4,0.2,53
"Zooplankton","FEve","FI",0.4,0,0,0.6,-22
"Zooplankton","FEve","MVI",0,0,0.2,0.8,6.8
"Zooplankton","FEve","Z_P.ratio",0.2,0,0.2,0.6,34.4
"Zooplankton","FRic","Community",0,0.4,0.4,0.2,-1.4
"Zooplankton","FRic","Density",0,0,0.4,0.6,21.8
"Zooplankton","FRic","FI",0,0.6,0.2,0.2,41.8
"Zooplankton","FRic","MVI",0,0.2,0,0.8,10.6
"Zooplankton","FRic","Z_P.ratio",0,0.6,0.2,0.2,1.6
