"troph","FD.metric","state.metric","median.cor","nsig","prop.sig"
"Phytoplankton","FDis","Community","0.134 ± 0.026",2,0.4
"Phytoplankton","FDis","Density","0.233 ± 0.051",5,1
"Phytoplankton","FDis","FI","0.152 ± 0.021",3,0.6
"Phytoplankton","FDis","MVI","0.223 ± 0.037",2,0.4
"Phytoplankton","FDis","Z_P.ratio","0.188 ± 0.042",5,1
"Phytoplankton","FEve","Community","-0.023 ± 0.013",0,0
"Phytoplankton","FEve","Density","0.152 ± 0.015",3,0.6
"Phytoplankton","FEve","FI","0.018 ± 0.031",2,0.4
"Phytoplankton","FEve","MVI","0.244 ± 0.022",1,0.2
"Phytoplankton","FEve","Z_P.ratio","0.075 ± 0.016",2,0.4
"Phytoplankton","FRic","Community","0.222 ± 0.033",2,0.4
"Phytoplankton","FRic","Density","0.074 ± 0.033",1,0.2
"Phytoplankton","FRic","FI","0.084 ± 0.022",0,0
"Phytoplankton","FRic","MVI","0.364 ± 0.04",1,0.2
"Phytoplankton","FRic","Z_P.ratio","0.017 ± 0.014",0,0
"Zooplankton","FDis","Community","0.098 ± 0.027",2,0.4
"Zooplankton","FDis","Density","0.087 ± 0.016",1,0.2
"Zooplankton","FDis","FI","0.01 ± 0.019",0,0
"Zooplankton","FDis","MVI","0.255 ± 0.022",0,0
"Zooplankton","FDis","Z_P.ratio","0.144 ± 0.029",3,0.6
"Zooplankton","FEve","Community","0.046 ± 0.012",0,0
"Zooplankton","FEve","Density","0 ± 0.035",1,0.2
"Zooplankton","FEve","FI","0.074 ± 0.016",1,0.2
"Zooplankton","FEve","MVI","0.209 ± 0.028",0,0
"Zooplankton","FEve","Z_P.ratio","0.06 ± 0.026",1,0.2
"Zooplankton","FRic","Community","0.111 ± 0.027",0,0
"Zooplankton","FRic","Density","-0.019 ± 0.023",0,0
"Zooplankton","FRic","FI","0.107 ± 0.028",1,0.2
"Zooplankton","FRic","MVI","0.227 ± 0.025",1,0.2
"Zooplankton","FRic","Z_P.ratio","-0.032 ± 0.011",0,0
