"FD.metric","measure","quantile.x_y","obs.value.x_y","median.perm.value.x_y","quantile.y_x","obs.value.y_x","median.perm.value.y_x","state.metric","system","res","troph","sig.x_y","sig.y_z"
"FDis","r0.skill",1,0.417538791007411,0.0155990902747936,1,0.29554281369556,0.0262985677483388,"Community","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.434326965161891,0.156283296714825,0.97,0.29554281369556,0.194952886268535,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FDis","t.absmax.skill",0.544,-1,-5.5,1,0,-28.5,"Community","Kasumigaura","Month","Phytoplankton","","*"
"FDis","r0.skill",1,0.383415727947037,0.0131010150362109,0.994,0.360886130576584,0.129737506261834,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.395407732390762,0.102281604872307,0.976,0.453802526486344,0.32459590874795,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.572,-1,-15.5,0.196,-54,-43,"Density","Kasumigaura","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.379524043150427,0.0193618652073599,0.99,0.23160458646864,0.0461773698915714,"FI","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.469513461029244,0.153030519226034,0.966,0.363743950244008,0.241121918230212,"FI","Kasumigaura","Month","Phytoplankton","*",""
"FDis","t.absmax.skill",0.224,-47,-10,0.708,-26,-39.5,"FI","Kasumigaura","Month","Phytoplankton","",""
"FDis","r0.skill",0.684,0.0445381865223507,0.0111263438158316,0.584,0.264240844422509,0.25136509328757,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FDis","absmax.skill",0.944,0.27399299311293,0.15472432378857,0.906,0.515219019763794,0.45435446112942,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FDis","t.absmax.skill",0.496,-16,-15,0.106,-60,-49,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.304450462681661,0.0104718757612749,1,0.376004945872866,0.0281594408117624,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.374799607713986,0.154177993777149,0.998,0.392409224541579,0.196727452563418,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.574,-2,-13.5,0.766,-3,-29,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","",""
"FEve","r0.skill",1,0.396550157254296,0.0346405114529228,0.982,0.220888169303296,0.0412384709636063,"Community","Kasumigaura","Month","Phytoplankton","*","*"
"FEve","absmax.skill",0.998,0.396550157254296,0.206509722153397,0.95,0.335271176162073,0.220648804445112,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FEve","t.absmax.skill",1,0,-23,0.798,-5,-33,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FEve","r0.skill",1,0.387304488416943,0.0191131979595552,1,0.678531033143721,0.188954010431535,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FEve","absmax.skill",0.994,0.437797059808661,0.136711632817803,1,0.678531033143721,0.412158241656964,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FEve","t.absmax.skill",0.1,-59,-29,1,0,-42,"Density","Kasumigaura","Month","Phytoplankton","","*"
"FEve","r0.skill",1,0.426835168465073,0.0473487116258477,0.134,-0.0379384804785011,0.0742008415559074,"FI","Kasumigaura","Month","Phytoplankton","*",""
"FEve","absmax.skill",0.996,0.496275407945223,0.19165052424704,0.866,0.376729070593656,0.301930012411847,"FI","Kasumigaura","Month","Phytoplankton","*",""
"FEve","t.absmax.skill",0.504,-24,-24,0.504,-43,-43,"FI","Kasumigaura","Month","Phytoplankton","",""
"FEve","r0.skill",0.998,0.317314946889715,0.039732844663845,0.952,0.455309119177479,0.314171620733318,"MVI","Kasumigaura","Month","Phytoplankton","*",""
"FEve","absmax.skill",0.978,0.369627268664303,0.207033103865106,0.6,0.558094185719303,0.544491956485803,"MVI","Kasumigaura","Month","Phytoplankton","*",""
"FEve","t.absmax.skill",0.474,-29,-25,0.994,-4,-50,"MVI","Kasumigaura","Month","Phytoplankton","","*"
"FEve","r0.skill",1,0.280980870186244,0.013402096962919,0.06,-0.0897480259819344,0.0412509411575093,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*",""
"FEve","absmax.skill",0.956,0.288957436267973,0.190856761116779,0.998,0.414010413326559,0.221956819664302,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","","*"
"FEve","t.absmax.skill",0.692,-9,-31,0.218,-52,-31,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","",""
"FRic","r0.skill",0.998,0.486457366194763,0.183996066889823,0.844,0.323600175565304,0.149063213364847,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FRic","absmax.skill",1,0.672667608557893,0.376654146414051,0.632,0.341770407296838,0.287545846778114,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.366,-52,-45,0.808,-3,-29,"Community","Kasumigaura","Month","Phytoplankton","",""
"FRic","r0.skill",0.998,0.870508361644416,0.243115501343153,0.994,0.92556299272532,0.620932165153042,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FRic","absmax.skill",1,0.953958987770226,0.496860356160019,0.996,0.961685689848657,0.782036268296287,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.152,-59,-51,0.646,-36,-44,"Density","Kasumigaura","Month","Phytoplankton","",""
"FRic","r0.skill",1,0.830652415324685,0.306268664674314,0.994,0.681890619646027,0.25582809160654,"FI","Kasumigaura","Month","Phytoplankton","*","*"
"FRic","absmax.skill",1,0.88712272024565,0.508059652169587,0.988,0.75108634206343,0.51529399210515,"FI","Kasumigaura","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.648,-24,-38,0.854,-8,-46,"FI","Kasumigaura","Month","Phytoplankton","",""
"FRic","r0.skill",1,0.605425481574353,0.147809355595036,0.464,0.374347834077262,0.387630736880076,"MVI","Kasumigaura","Month","Phytoplankton","*",""
"FRic","absmax.skill",1,0.812514787840996,0.355143825805106,0.718,0.67819574135578,0.63592744609654,"MVI","Kasumigaura","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.358,-48,-40,0.34,-60,-53.5,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FRic","r0.skill",0.998,0.547226314273823,0.117001649023087,0.938,0.345402644960692,0.0796603548153307,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*",""
"FRic","absmax.skill",1,0.59177510288261,0.313543292552083,0.874,0.346837158469862,0.206043890400009,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.918,-1,-29,0.672,-3,-14,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","",""
"FDis","r0.skill",0.504,0.0183784044513792,0.0180022458981033,0.17,-0.0388217028343171,0.0311654410926951,"Community","Kasumigaura","Month","Zooplankton","",""
"FDis","absmax.skill",0.946,0.286482976977086,0.184847869494168,0.968,0.310214594047842,0.203532506339235,"Community","Kasumigaura","Month","Zooplankton","",""
"FDis","t.absmax.skill",0.064,-57,-21,0.222,-46,-27.5,"Community","Kasumigaura","Month","Zooplankton","",""
"FDis","r0.skill",0.866,0.129449320668797,0.0157301845040045,0.074,0.0385941557370766,0.18088103074025,"Density","Kasumigaura","Month","Zooplankton","",""
"FDis","absmax.skill",0.894,0.257306934048498,0.125208296566149,0.996,0.570350315948259,0.386962901144027,"Density","Kasumigaura","Month","Zooplankton","","*"
"FDis","t.absmax.skill",0.208,-52,-16,0.322,-51,-42.5,"Density","Kasumigaura","Month","Zooplankton","",""
"FDis","r0.skill",0.97,0.190542819598423,0.0137482018409706,0.744,0.110388200808232,0.0424356044447038,"FI","Kasumigaura","Month","Zooplankton","",""
"FDis","absmax.skill",0.994,0.38106307304531,0.146481158179231,0.998,0.448148091102939,0.254924922351528,"FI","Kasumigaura","Month","Zooplankton","*","*"
"FDis","t.absmax.skill",0.258,-42,-10.5,0.194,-55,-40,"FI","Kasumigaura","Month","Zooplankton","",""
"FDis","r0.skill",0.728,0.0676007490661305,0.0160647252159504,0.594,0.287564130251644,0.268509230519727,"MVI","Kasumigaura","Month","Zooplankton","",""
"FDis","absmax.skill",0.968,0.313286212517984,0.178171417192158,0.934,0.549372510847582,0.473060678619058,"MVI","Kasumigaura","Month","Zooplankton","",""
"FDis","t.absmax.skill",0.356,-37,-20,0.384,-53,-49,"MVI","Kasumigaura","Month","Zooplankton","",""
