"FD.metric","measure","quantile.x_y","obs.value.x_y","median.perm.value.x_y","quantile.y_x","obs.value.y_x","median.perm.value.y_x","state.metric","system","res","troph","sig.x_y","sig.y_z"
"FDis","r0.skill",0.872,0.0982513695788156,-0.00529313824193445,0.994,0.19887224055124,0.00793452143358109,"Community","Mendota","Month","Phytoplankton","","*"
"FDis","absmax.skill",0.996,0.37446813370196,0.0696066589305326,0.998,0.333088792192909,0.190420831252279,"Community","Mendota","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.346,-17,0,0.136,-50,-7,"Community","Mendota","Month","Phytoplankton","",""
"FDis","r0.skill",0.998,0.26529032017164,-0.00402057559687698,0.996,0.271421559534005,0.0387468280231189,"Density","Mendota","Month","Phytoplankton","*","*"
"FDis","absmax.skill",0.998,0.443787849094195,0.189778171429241,0.996,0.3833219178624,0.244528740909552,"Density","Mendota","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.13,-53,-23.5,0.244,-51,-36,"Density","Mendota","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.297021199918225,-0.0049187017294738,0.008,-0.187787722628116,0.0262520817037019,"FI","Mendota","Month","Phytoplankton","*","*"
"FDis","absmax.skill",0.952,0.335113181095421,0.0896193026819395,0.996,0.378785483572832,0.236073459646118,"FI","Mendota","Month","Phytoplankton","","*"
"FDis","t.absmax.skill",0.144,-46,0,0.1,-55,-31,"FI","Mendota","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.234391367405894,-0.00212295916167325,0.964,0.330203748147912,0.175799673829581,"MVI","Mendota","Month","Phytoplankton","*",""
"FDis","absmax.skill",0.948,0.304585089989265,0.125750334806416,0.986,0.514785947063106,0.3834593305706,"MVI","Mendota","Month","Phytoplankton","","*"
"FDis","t.absmax.skill",0.37,-24,0,0.576,-40,-42,"MVI","Mendota","Month","Phytoplankton","",""
"FDis","r0.skill",0.918,0.124092102097237,0.00477619879730758,1,0.282169240046541,0.00404142173065425,"Z_P.ratio","Mendota","Month","Phytoplankton","","*"
"FDis","absmax.skill",1,0.40246040942762,0.096465009337293,0.954,0.297488556973475,0.195820961952258,"Z_P.ratio","Mendota","Month","Phytoplankton","*",""
"FDis","t.absmax.skill",0.418,-5,0,0.482,-23,-19,"Z_P.ratio","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.998,0.258950762829169,-0.00704691128710291,0.988,0.193666828938359,0.00737536765225496,"Community","Mendota","Month","Phytoplankton","*","*"
"FEve","absmax.skill",1,0.409795493743919,0.0781686387507825,0.962,0.300492570221331,0.181224738932567,"Community","Mendota","Month","Phytoplankton","*",""
"FEve","t.absmax.skill",0.258,-35,0,0.4,-28,-3,"Community","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.962,0.127048124667477,-0.0068469596252108,0.722,0.0922033727866127,0.0347793551289535,"Density","Mendota","Month","Phytoplankton","",""
"FEve","absmax.skill",0.38,0.127048124667477,0.19198429194815,0.938,0.322990911079331,0.241022530941393,"Density","Mendota","Month","Phytoplankton","",""
"FEve","t.absmax.skill",1,0,-24.5,0.03,-60,-34,"Density","Mendota","Month","Phytoplankton","*",""
"FEve","r0.skill",0.552,-0.000415068555314224,-0.0111905664332241,0.686,0.0531911156927569,0.0126725331864901,"FI","Mendota","Month","Phytoplankton","",""
"FEve","absmax.skill",0.792,0.262284574602965,0.0953733951566731,0.664,0.252425100456111,0.22450359426126,"FI","Mendota","Month","Phytoplankton","",""
"FEve","t.absmax.skill",0.134,-48,0,0.478,-28,-26,"FI","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.212,-0.0618614630729159,4.98807297812141e-05,0.996,0.375429274632143,0.168437889610411,"MVI","Mendota","Month","Phytoplankton","","*"
"FEve","absmax.skill",0.878,0.264261997004335,0.167053162487105,0.608,0.389689034316031,0.370805097489573,"MVI","Mendota","Month","Phytoplankton","",""
"FEve","t.absmax.skill",0.464,-15,-5.5,0.358,-48,-42,"MVI","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.978,0.164224166960442,-0.0034433555014276,0.954,0.147671684785337,0.0139899676539649,"Z_P.ratio","Mendota","Month","Phytoplankton","*",""
"FEve","absmax.skill",0.996,0.354682168063457,0.0632325245043606,0.75,0.23135646833367,0.168375768202999,"Z_P.ratio","Mendota","Month","Phytoplankton","*",""
"FEve","t.absmax.skill",0.344,-23,0,0.026,-60,-7.5,"Z_P.ratio","Mendota","Month","Phytoplankton","",""
"FRic","r0.skill",1,0.302104040613445,-0.00445494543522346,1,0.446695756600839,0.00361618740759561,"Community","Mendota","Month","Phytoplankton","*","*"
"FRic","absmax.skill",0.998,0.371513760664634,0.055336952445518,1,0.446695756600839,0.172499587862798,"Community","Mendota","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.238,-37,0,1,0,-9,"Community","Mendota","Month","Phytoplankton","","*"
"FRic","r0.skill",1,0.337231686643504,-0.00177205464625584,1,0.469247261699528,0.0328120764598137,"Density","Mendota","Month","Phytoplankton","*","*"
"FRic","absmax.skill",0.976,0.337231686643504,0.16727271472914,1,0.504143698695303,0.228084977640772,"Density","Mendota","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",1,0,-9.5,0.782,-1,-33,"Density","Mendota","Month","Phytoplankton","*",""
"FRic","r0.skill",0.992,0.206192764030514,-0.00650990612194064,1,0.334842597994916,0.0112899678301949,"FI","Mendota","Month","Phytoplankton","*","*"
"FRic","absmax.skill",0.996,0.387578115142033,0.0967772109297271,0.99,0.376947960910646,0.21051605101254,"FI","Mendota","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.43,-1,0,0.572,-11,-22,"FI","Mendota","Month","Phytoplankton","",""
"FRic","r0.skill",0.894,0.113286595289692,-0.0111221442214019,0.192,0.0858010358433016,0.157575224959042,"MVI","Mendota","Month","Phytoplankton","",""
"FRic","absmax.skill",0.98,0.338849248002525,0.141199314209994,0.858,0.407764620699015,0.344879755705454,"MVI","Mendota","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.374,-23,0,0.922,-18,-42,"MVI","Mendota","Month","Phytoplankton","",""
"FRic","r0.skill",0.786,0.0579868431513615,-0.0114792265914799,0.952,0.132962530413138,0.00964944151465464,"Z_P.ratio","Mendota","Month","Phytoplankton","",""
"FRic","absmax.skill",1,0.451712272582144,0.0610108820555493,0.92,0.270230939428717,0.181374314800217,"Z_P.ratio","Mendota","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.346,-18,0,0.022,-60,-10.5,"Z_P.ratio","Mendota","Month","Phytoplankton","","*"
"FDis","r0.skill",1,0.354459121388147,0.0012278790993277,0.998,0.243623413224372,0.0121925132746018,"Community","Mendota","Month","Zooplankton","*","*"
"FDis","absmax.skill",0.998,0.412611445510623,0.135642390349252,0.994,0.352502381856824,0.207113035393697,"Community","Mendota","Month","Zooplankton","*","*"
"FDis","t.absmax.skill",0.36,-24,0,0.398,-31,-16.5,"Community","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",1,0.401831636230492,-0.00247158909299964,1,0.58196947153187,0.0666498698181787,"Density","Mendota","Month","Zooplankton","*","*"
"FDis","absmax.skill",1,0.528131668691889,0.206746545014685,1,0.601456750166565,0.293810013726342,"Density","Mendota","Month","Zooplankton","*","*"
"FDis","t.absmax.skill",0.576,-17,-28,0.846,-12,-40,"Density","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",1,0.306729681926315,0.0216011101915333,0.462,0.0367744798531577,0.0478276787669848,"FI","Mendota","Month","Zooplankton","*",""
"FDis","absmax.skill",1,0.515559790308557,0.227700566281209,0.994,0.48565663864812,0.300139505372182,"FI","Mendota","Month","Zooplankton","*","*"
"FDis","t.absmax.skill",0.48,-20,-17,0.6,-32,-35,"FI","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",0.93,0.154422615721272,0.0160728958234429,0.028,0.134513266280621,0.315336488498112,"MVI","Mendota","Month","Zooplankton","",""
"FDis","absmax.skill",0.802,0.296386492837144,0.206629866141611,0.508,0.551662984772478,0.550597994802255,"MVI","Mendota","Month","Zooplankton","",""
