"FD.metric","x_y","y_x","tp","state.metric","system","res","troph"
"FDis",0.0695632869419576,0.302271080117603,-60,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0432824285018568,0.328595084355516,-59,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0540911659374183,0.359755400983975,-58,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0117736382574198,0.366585462721423,-57,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.112147647352935,0.314119205513938,-56,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.130876714294501,0.260464361984603,-55,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0975502308868487,0.278921948537926,-54,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.107616652359234,0.286547160172025,-53,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.103003978307419,0.257672638577917,-52,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0993260035773091,0.265278103583766,-51,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0456512025702906,0.305947386203071,-50,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0152714038875763,0.315162905028551,-49,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0268365245040802,0.308250913301408,-48,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0737526859244445,0.33649193983153,-47,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0473649257595726,0.354611975272699,-46,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0639649690068593,0.338945398099385,-45,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.137380667130583,0.306468398220196,-44,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.16271755345884,0.246482938729951,-43,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.205806937314096,0.245209573546319,-42,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.223233320231691,0.249251786670688,-41,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.176145415147076,0.210942810828256,-40,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.126769962160986,0.26848549851007,-39,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.103129252274892,0.300579818508357,-38,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0930309573936877,0.342880412622219,-37,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0540616735871263,0.334878505354643,-36,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0976009646247144,0.327516980653563,-35,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.113589023935519,0.328848654001613,-34,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.193578594465808,0.289903057134242,-33,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.187810957582681,0.293778062162185,-32,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.167609960632688,0.277717359039412,-31,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.200330152151504,0.271004764726772,-30,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.22490852647352,0.20226773452858,-29,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.193234180827044,0.0968525430137917,-28,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.172030838243196,0.152211189313462,-27,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.124180034931661,0.142541677345782,-26,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.129282318838018,0.106078129283267,-25,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.119468457745768,0.138859397036992,-24,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.11174081695465,0.147396508890723,-23,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.120107061211248,0.139502675070705,-22,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.107073113091268,0.161900360701069,-21,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.106685319018573,0.163436713456313,-20,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0773017291623408,0.125103418874446,-19,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.103103121015129,0.114596959537242,-18,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0710822979255669,0.130311922752984,-17,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.031832159675758,0.155133302721353,-16,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0842759609518107,0.153149334164392,-15,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0588258386196054,0.148063703748976,-14,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0283267809963561,0.154367869857212,-13,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0177562156395655,0.210550641339653,-12,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0286513392328754,0.165493546763354,-11,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.124979228107722,0.208096661196978,-10,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.200587574843741,0.238400399334902,-9,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.150725702789108,0.262921347520792,-8,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.210286654920191,0.272236200843455,-7,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.294315593892633,0.270337730199021,-6,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.238273485642972,0.266285479056715,-5,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.148361887974689,0.294785586056558,-4,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0935738507451942,0.303422221894913,-3,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0747441789127795,0.268744008416245,-2,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0900692001593559,0.277915987060065,-1,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0958861233570077,0.260574212438967,0,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0972955621580494,0.195116758463857,1,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.111456656652115,0.209161610835745,2,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.128309408932697,0.233903057969943,3,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.167854828928669,0.232808461929512,4,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.125146694513491,0.232896553031039,5,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.130433053048881,0.170787022022049,6,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.134239755067917,0.178661879170146,7,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.106712993970254,0.239453693627354,8,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0819162918208562,0.234985018671163,9,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.108861909814517,0.236592499476127,10,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0603951065743826,0.240161892284693,11,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0943567711852307,0.226466101401673,12,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0911903338392745,0.277456059294772,13,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0274648347250385,0.281466842522873,14,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0418029501171582,0.248566481053929,15,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0127160858629028,0.259421416413581,16,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0123896745924565,0.242275492745867,17,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0528632942899875,0.194705099299043,18,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0770677975750623,0.225263311469136,19,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0892198781316687,0.261059730414991,20,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.128086217218185,0.217604559903644,21,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.220445811458817,0.210264100759014,22,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.200168464782204,0.194828909521047,23,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.177482674040064,0.185012569119026,24,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.216319503081022,0.162495239871032,25,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.176752955966442,0.153067108788808,26,"Community","Lower Zurich","Month","Phytoplankton"
