"FD.metric","measure","x_y.quantile","x_y.obs_value","x_y.median_perm_value","y_x.quantile","y_x.obs_value","y_x.median_perm_value","state.metric","system","res","troph","x_y.sig","y_x.sig"
"FDis","r0.skill",0.834,0.0958861233570077,0.022690072776041,1,0.260574212438967,0.0213128055537128,"Community","Lower Zurich","Month","Phytoplankton","","*"
"FDis","max.skill",0.97,0.304390656484502,0.20337606816122,0.994,0.366585462721423,0.197632331970765,"Community","Lower Zurich","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.89,48,-20,0.072,-57,-3.5,"Community","Lower Zurich","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.345547341650243,0.0480922732101237,1,0.490811983439467,0.0419025970311774,"Density","Lower Zurich","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.433112891543561,0.240297660648261,1,0.490811983439467,0.225112512464638,"Density","Lower Zurich","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.51,-3,-5.5,0.496,0,1,"Density","Lower Zurich","Month","Phytoplankton","",""
"FDis","r0.skill",0.976,0.237349562558456,0.0548684653103575,0.86,0.166876718773397,0.0721207147748826,"FI","Lower Zurich","Month","Phytoplankton","*",""
"FDis","max.skill",0.96,0.367257051476572,0.267644788749851,0.916,0.343120331359427,0.268248567229177,"FI","Lower Zurich","Month","Phytoplankton","*",""
"FDis","t.max.skill",0.948,55,-14,0.914,53,-1.5,"FI","Lower Zurich","Month","Phytoplankton","",""
"FDis","r0.skill",0.516,0.0918633735979252,0.086705958718416,0.098,0.162979325307519,0.254342182032502,"MVI","Lower Zurich","Month","Phytoplankton","",""
"FDis","max.skill",0.882,0.451223893479173,0.347198272866379,0.744,0.482774251570994,0.457025765287541,"MVI","Lower Zurich","Month","Phytoplankton","",""
"FDis","t.max.skill",0.17,-47,-4,0.35,-50,-45,"MVI","Lower Zurich","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.453026394013587,0.0366545742061027,1,0.43772532229081,0.0299214781990838,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.472125468317621,0.21355760854048,1,0.493188078826946,0.210266453359844,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.572,-3,-16,0.454,-6,3,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","",""
"FEve","r0.skill",0.68,0.0247321816639634,-0.00431793842014642,0.776,0.0422634147800307,-0.012547844567947,"Community","Lower Zurich","Month","Phytoplankton","",""
"FEve","max.skill",0.97,0.257006148462767,0.160926981165356,0.95,0.203687321483733,0.136210567662281,"Community","Lower Zurich","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.162,-47,-2.5,0.932,54,-2,"Community","Lower Zurich","Month","Phytoplankton","",""
"FEve","r0.skill",0.114,-0.0809703324720003,-0.00152064896656762,0.536,0.013019877889282,0.00805155274028988,"Density","Lower Zurich","Month","Phytoplankton","",""
"FEve","max.skill",1,0.34793574902046,0.184632828986579,1,0.304398481268087,0.16634021714416,"Density","Lower Zurich","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.632,17,-2.5,0.368,-21,0.5,"Density","Lower Zurich","Month","Phytoplankton","",""
"FEve","r0.skill",0.412,-0.0184595752255651,0.00336440876034293,0.774,0.0784370269694087,0.0247631816075088,"FI","Lower Zurich","Month","Phytoplankton","",""
"FEve","max.skill",1,0.4298971191817,0.206438028058209,1,0.341365425453675,0.184431811092702,"FI","Lower Zurich","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.168,-45,-3,0.808,41,-3.5,"FI","Lower Zurich","Month","Phytoplankton","",""
"FEve","r0.skill",0.154,-0.128803316556945,0.00463546225997897,0.986,0.239319297842987,0.0991058538383187,"MVI","Lower Zurich","Month","Phytoplankton","","*"
"FEve","max.skill",1,0.65904675824889,0.254176662087239,0.924,0.330803536604959,0.265309931973238,"MVI","Lower Zurich","Month","Phytoplankton","*",""
"FEve","t.max.skill",0.682,20,-2.5,0.482,-28,-25,"MVI","Lower Zurich","Month","Phytoplankton","",""
"FEve","r0.skill",0.81,0.0673954980518783,-0.00264274713780323,0.72,0.0411008735249311,7.27448812267737e-05,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","",""
"FEve","max.skill",0.958,0.261832848378432,0.17373832034809,0.876,0.202443645540467,0.157075961331668,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","*",""
"FEve","t.max.skill",0.674,17,-7,0.986,58,-2,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","","*"
"FRic","r0.skill",1,0.256019463065194,0.00836518664765996,1,0.248796295949783,0.00622884501854794,"Community","Lower Zurich","Month","Phytoplankton","*","*"
"FRic","max.skill",0.994,0.288117953601769,0.172763087404734,1,0.331469045403555,0.159820012855669,"Community","Lower Zurich","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.522,-3,-5.5,0.404,-21,-5,"Community","Lower Zurich","Month","Phytoplankton","",""
"FRic","r0.skill",0.768,0.0772078461206267,0.0174634189141023,0.696,0.0524085643420303,0.0245009219697365,"Density","Lower Zurich","Month","Phytoplankton","",""
"FRic","max.skill",0.562,0.204203162361534,0.199230023038787,0.862,0.228638743394008,0.186504554248892,"Density","Lower Zurich","Month","Phytoplankton","",""
"FRic","t.max.skill",0.028,-60,-6,0.94,56,-1,"Density","Lower Zurich","Month","Phytoplankton","",""
"FRic","r0.skill",0.98,0.205572209950348,0.0199809759105361,0.966,0.173192271499298,0.0469035455646672,"FI","Lower Zurich","Month","Phytoplankton","*","*"
"FRic","max.skill",1,0.469949629726315,0.223155381929796,0.91,0.270460990913989,0.213365507348469,"FI","Lower Zurich","Month","Phytoplankton","*",""
"FRic","t.max.skill",0.562,7,-0.5,0.444,-17,-7,"FI","Lower Zurich","Month","Phytoplankton","",""
"FRic","r0.skill",0.932,0.213756123275784,0.0188762886990566,0.158,0.09838945090908,0.158505703707186,"MVI","Lower Zurich","Month","Phytoplankton","",""
"FRic","max.skill",0.776,0.359759818380092,0.28524874550381,0.202,0.308817972981614,0.344608607230893,"MVI","Lower Zurich","Month","Phytoplankton","",""
"FRic","t.max.skill",0.424,-19,-5,0.856,42,-40,"MVI","Lower Zurich","Month","Phytoplankton","",""
"FRic","r0.skill",0.984,0.170347382003061,0.0109862252477795,0.978,0.145354961113448,0.0133278931201739,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","*","*"
"FRic","max.skill",0.73,0.20903101137449,0.180679837144297,0.976,0.256495164454162,0.173560345637048,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","","*"
"FRic","t.max.skill",1,60,-13,0.23,-42,-10,"Z_P.ratio","Lower Zurich","Month","Phytoplankton","*",""
"FDis","r0.skill",0.984,0.154460440178491,0.000749555688273492,1,0.275642257297474,-0.00544458848734525,"Community","Lower Zurich","Month","Zooplankton","*","*"
"FDis","max.skill",0.938,0.243052907866835,0.167348309997855,1,0.325055683194826,0.158781073861608,"Community","Lower Zurich","Month","Zooplankton","","*"
"FDis","t.max.skill",0.258,-43,-6.5,0.254,-39,-8.5,"Community","Lower Zurich","Month","Zooplankton","",""
"FDis","r0.skill",0.844,0.0823864484773176,0.00658344624423894,0.266,-0.032440764538297,0.0106962516909847,"Density","Lower Zurich","Month","Zooplankton","",""
"FDis","max.skill",0.63,0.205781435614547,0.190088560146735,1,0.322709927431722,0.182104042964408,"Density","Lower Zurich","Month","Zooplankton","","*"
"FDis","t.max.skill",0.122,-51,-5.5,0.258,-40,-10.5,"Density","Lower Zurich","Month","Zooplankton","",""
"FDis","r0.skill",0.962,0.167769198376521,0.00555905151267832,0.896,0.129994748865992,0.0345532819568702,"FI","Lower Zurich","Month","Zooplankton","*",""
"FDis","max.skill",0.98,0.330578495247005,0.218942525552102,0.998,0.328530572907265,0.205570375433789,"FI","Lower Zurich","Month","Zooplankton","*","*"
"FDis","t.max.skill",0.662,18,-7,0.954,57,-5,"FI","Lower Zurich","Month","Zooplankton","","*"
"FDis","r0.skill",0.87,0.155518857128244,0.0136397047663425,0.782,0.206664837411216,0.155295275770133,"MVI","Lower Zurich","Month","Zooplankton","",""
"FDis","max.skill",0.972,0.451075118806356,0.277523989010416,0.546,0.33753175040445,0.333288505419075,"MVI","Lower Zurich","Month","Zooplankton","*",""
"FDis","t.max.skill",0.15,-51,-8.5,0.866,43,-39,"MVI","Lower Zurich","Month","Zooplankton","",""
"FDis","r0.skill",1,0.236449317995485,0.00227881170117365,1,0.253534689293247,0.002430992524704,"Z_P.ratio","Lower Zurich","Month","Zooplankton","*","*"
"FDis","max.skill",1,0.334565152850878,0.179568505242806,1,0.345588085105251,0.169713862018354,"Z_P.ratio","Lower Zurich","Month","Zooplankton","*","*"
"FDis","t.max.skill",0.578,-2,-11,0.952,56,-4,"Z_P.ratio","Lower Zurich","Month","Zooplankton","","*"
"FEve","r0.skill",0.754,0.0538282726468948,0.00618160417156806,0.992,0.182766025179994,0.0141976626251404,"Community","Lower Zurich","Month","Zooplankton","","*"
"FEve","max.skill",1,0.411634734707823,0.177986486421255,1,0.417404444283899,0.167431249254787,"Community","Lower Zurich","Month","Zooplankton","*","*"
"FEve","t.max.skill",0.73,26,-10.5,0.932,54,-5,"Community","Lower Zurich","Month","Zooplankton","",""
"FEve","r0.skill",0.118,-0.0648929168677884,0.0193493857079305,0.996,0.228237893179444,0.0304662828398286,"Density","Lower Zurich","Month","Zooplankton","","*"
"FEve","max.skill",0.698,0.235124181322786,0.214575732287738,0.968,0.284147801755332,0.198095572419284,"Density","Lower Zurich","Month","Zooplankton","","*"
"FEve","t.max.skill",0.328,-30,-1,0.874,47,-0.5,"Density","Lower Zurich","Month","Zooplankton","",""
