"FD.metric","x_y","y_x","tp","state.metric","system","res","troph"
"FDis",0.265865721622676,0.306661953281518,-60,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.246634211156557,0.296970475204515,-59,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.263487833142304,0.323513605314014,-58,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.266046947376924,0.349164196047619,-57,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.283086442310385,0.32169670206576,-56,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.288547092984599,0.29585604307711,-55,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.299414585958553,0.253565877082193,-54,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.30953584394628,0.24336183303542,-53,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.272920024740187,0.231708226806937,-52,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.277492136389528,0.247872624712515,-51,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.297285072208518,0.252184980071222,-50,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.319673328462175,0.262984236169528,-49,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.268735807826191,0.268731356087306,-48,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.227256001436855,0.24622492781508,-47,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.225561736415885,0.248852672516988,-46,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.237558271149534,0.31834183934881,-45,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.235834131530829,0.338824513283835,-44,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.212511356311868,0.343322685246898,-43,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.217457929270518,0.343140423731212,-42,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.219538503207467,0.33884045425756,-41,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.216184289563779,0.339658974480918,-40,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.262739054599973,0.329711892512319,-39,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.304538761812044,0.335467812950985,-38,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.311787302077096,0.326216160397181,-37,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.309635913803415,0.295254761316807,-36,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.287368708688662,0.277235536707996,-35,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.299011409206681,0.300064451014252,-34,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.284835982455165,0.324167795515262,-33,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.31585730554176,0.328407673114757,-32,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.321740433553796,0.342275912089561,-31,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.356715089312335,0.370211364928704,-30,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.390436000910704,0.387605785712659,-29,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.433718018890205,0.391757412123533,-28,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.444731733771644,0.394059936215037,-27,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.425909279814252,0.374853177676314,-26,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.380846798399653,0.365840205592381,-25,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.316002730059872,0.389689184898163,-24,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.338659159189257,0.394752043659994,-23,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.387137995169735,0.399277211669867,-22,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.460887656041969,0.430455246944987,-21,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.510358273822244,0.466165119869848,-20,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.533859854738285,0.497579365031937,-19,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.543098353026865,0.503175689379024,-18,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.567526379428574,0.497132745382771,-17,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.563849629706969,0.499439322633992,-16,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.559796837733684,0.504207026458483,-15,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.560399933434359,0.504580010165107,-14,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.533522356444673,0.510658614382147,-13,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.53025381995313,0.537017610172688,-12,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.562979262156857,0.565036806408148,-11,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.656634933830434,0.650899591969432,-10,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.809908115650851,0.786977183582332,-9,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.834252608714828,0.796705815861199,-8,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.836166100817787,0.787958706747933,-7,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.834177100968502,0.786700546446868,-6,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.838430165024045,0.793342536336168,-5,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.839224162454951,0.79636145505356,-4,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.840863073576526,0.78691798131057,-3,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.836513726360093,0.773032875556703,-2,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.831045487595441,0.774678598284798,-1,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.815480350961457,0.76517103191334,0,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.672771875152214,0.601042180410638,1,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.591209613686339,0.533673066155379,2,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.557164659554203,0.52297410202211,3,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.531820080236356,0.514618072264418,4,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.516037414414365,0.498273679520641,5,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.516700915632419,0.484579207784335,6,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.513340228449944,0.482181262012462,7,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.5299031880301,0.48195996293326,8,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.500554074409707,0.468754684866607,9,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.464625491723956,0.469626164452939,10,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.450213053502957,0.477702853180834,11,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.433099181117404,0.445539779079816,12,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.407820919655354,0.3963580812697,13,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.397635042979751,0.395376168815833,14,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.370972936360069,0.377528952684229,15,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.346541703266618,0.382404559043235,16,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.365933699552714,0.338711803924138,17,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.339662146624261,0.328097388786242,18,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.335434324798758,0.342684374942336,19,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.353736200909899,0.377023804383166,20,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.339292491315372,0.375197834039624,21,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.322716363653638,0.363871515313864,22,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.299950905143593,0.366202088677087,23,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.283508797451002,0.341561140041774,24,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.244358333037776,0.313354416083417,25,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.254362557178904,0.309810707846368,26,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.293691684691782,0.355468483050919,27,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.324679154766582,0.370205843475175,28,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.272018616746765,0.348144102818301,29,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.244500586781472,0.343301896368251,30,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.229537197217247,0.343594023769443,31,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.242290533280579,0.346784379769268,32,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.282101434047644,0.352098756545851,33,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.263097858606055,0.364610584229538,34,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.238231054387193,0.36525266450113,35,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.243797532718416,0.39096128012549,36,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.26071106052455,0.369052870186905,37,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.271560444360603,0.358467062065059,38,"Community","Kinneret","Month","Phytoplankton"
