"FD.metric","measure","x_y.quantile","x_y.obs_value","x_y.median_perm_value","y_x.quantile","y_x.obs_value","y_x.median_perm_value","state.metric","system","res","troph","x_y.sig","y_x.sig"
"FDis","r0.skill",0.982,0.170021180091346,0.00414905106650222,0.998,0.179205334173503,0.011443996595716,"Community","Kinneret","Month","Phytoplankton","*","*"
"FDis","max.skill",0.878,0.235451100155325,0.173987210334826,0.968,0.23609709049966,0.170049763491623,"Community","Kinneret","Month","Phytoplankton","",""
"FDis","t.max.skill",0.62,11,-5,0.038,-57,1.5,"Community","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.816389845090135,0.0483867044648402,1,0.763908967632435,0.0945937636847756,"Density","Kinneret","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.844779851975126,0.216450907213518,1,0.793979107477524,0.243196662556265,"Density","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.496,-3,-1.5,0.424,-8,6,"Density","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.536719757653351,0.0480896121088358,0.992,0.259288429347842,0.0837667691350385,"FI","Kinneret","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.542465968169581,0.254401761563623,0.984,0.330269477452835,0.241475756231992,"FI","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.298,-25,3,0.454,-14,-7,"FI","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.744963725346658,0.0678677742574051,1,0.495279991483897,0.29210886487422,"MVI","Kinneret","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.744963725346658,0.284632047519689,1,0.584695429096109,0.426709463760741,"MVI","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.5,0,0.5,0.46,-4,2.5,"MVI","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.566194227114199,0.0426291898423732,1,0.523552176211084,0.0573295620499875,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.601787647832526,0.199368435897388,1,0.566789981606776,0.203355096479508,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.49,-2,0,0.408,-7,5,"Z_P.ratio","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",0.872,0.105280557768822,0.0145887912444496,0.65,0.0411953947119489,0.0219100955691707,"Community","Kinneret","Month","Phytoplankton","",""
"FEve","max.skill",0.884,0.242072682091437,0.177345191947533,1,0.289636497899563,0.162574135163239,"Community","Kinneret","Month","Phytoplankton","","*"
"FEve","t.max.skill",0.892,51,-0.5,0.078,-53,8,"Community","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",1,0.286837671015118,0.00501762708846564,1,0.452580967256262,0.0550861091082007,"Density","Kinneret","Month","Phytoplankton","*","*"
"FEve","max.skill",1,0.368763722290089,0.169222807773352,1,0.454765141764042,0.186451581428978,"Density","Kinneret","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.368,-20,2,0.536,11,6,"Density","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",0.996,0.303160449703763,0.00460427932700581,1,0.251314716312441,0.0315081017662242,"FI","Kinneret","Month","Phytoplankton","*","*"
"FEve","max.skill",0.994,0.378770423379714,0.190178606847487,0.998,0.276621327691428,0.170800472506386,"FI","Kinneret","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.474,-6,-2,0.448,-5,4,"FI","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",0.968,0.175606028010043,0.00804918417607346,1,0.359456083674935,0.166375347690617,"MVI","Kinneret","Month","Phytoplankton","","*"
"FEve","max.skill",1,0.391819844278196,0.197178672392348,1,0.400589554524524,0.292184865645893,"MVI","Kinneret","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.37,-16,5.5,0.52,13,11,"MVI","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",0.984,0.167277269676083,0.00471264907154464,1,0.274601401331957,0.0320058969476399,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FEve","max.skill",0.976,0.240436147541762,0.158163484442577,1,0.288373811583554,0.163676766532817,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.38,-20,-2,0.428,-2,9,"Z_P.ratio","Kinneret","Month","Phytoplankton","",""
"FRic","r0.skill",0.718,0.0795126779804325,0.0312181388735371,0.23,-0.0171000540747103,0.0438478298807582,"Community","Kinneret","Month","Phytoplankton","",""
"FRic","max.skill",0.994,0.390255554217459,0.212587196165919,0.99,0.359723828616943,0.217789095747509,"Community","Kinneret","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.11,-50,0.5,0.018,-60,11.5,"Community","Kinneret","Month","Phytoplankton","","*"
"FRic","r0.skill",1,0.534808437090899,0.133816460987882,1,0.63400384223223,0.140806716769429,"Density","Kinneret","Month","Phytoplankton","*","*"
"FRic","max.skill",1,0.586850641397195,0.304777051485625,1,0.638155398986491,0.314470455141728,"Density","Kinneret","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.462,-6,1,0.418,-1,13,"Density","Kinneret","Month","Phytoplankton","",""
"FRic","r0.skill",0.996,0.439909390671502,0.12843660143607,0.998,0.409256708952131,0.108059350088955,"FI","Kinneret","Month","Phytoplankton","*","*"
"FRic","max.skill",0.98,0.521574254196682,0.318359519600056,0.986,0.446636334121594,0.302335234642031,"FI","Kinneret","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.406,-15,2.5,0.53,4,-1,"FI","Kinneret","Month","Phytoplankton","",""
"FRic","r0.skill",0.998,0.366211830290999,0.0513736357541328,0.958,0.481589705975097,0.349153070642765,"MVI","Kinneret","Month","Phytoplankton","*",""
"FRic","max.skill",0.966,0.380843885709142,0.245153898850636,0.75,0.542929430505931,0.519183422627902,"MVI","Kinneret","Month","Phytoplankton","",""
"FRic","t.max.skill",0.452,-6,0,0.036,-60,0,"MVI","Kinneret","Month","Phytoplankton","",""
"FRic","r0.skill",0.998,0.285787175289027,0.110267090169255,0.992,0.328214484945424,0.0901909027913932,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FRic","max.skill",0.768,0.285787175289027,0.25787668692673,0.966,0.38570663543071,0.267102357630972,"Z_P.ratio","Kinneret","Month","Phytoplankton","",""
"FRic","t.max.skill",0.506,0,0,0.416,-3,9,"Z_P.ratio","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",0.986,0.207413803184841,0.0116018170571128,1,0.302654625199084,0.0559008553263476,"Community","Kinneret","Month","Zooplankton","*","*"
"FDis","max.skill",0.992,0.315267423888698,0.16856612890433,1,0.405182751158485,0.191804506394304,"Community","Kinneret","Month","Zooplankton","*","*"
