"FD.metric","x_y","y_x","tp","state.metric","system","res","troph"
"FDis",0.219203480802593,0.0256627672026287,-60,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.220620106263452,0.128516218709059,-59,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.234442640019164,0.14986987407275,-58,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.210010700774222,0.13846064084144,-57,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.145754295963041,0.0880555348269681,-56,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.100937341194434,0.0555918105286591,-55,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0876150409925127,0.0830026296591023,-54,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0775969415758588,0.121238884121344,-53,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0772296033236831,0.14730244336271,-52,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0803409066169917,0.0931134697017328,-51,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.104710272405411,0.118211945384688,-50,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0781746192440591,0.152085166008804,-49,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0788718063764424,0.100552211813694,-48,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0686422213499428,0.0911855372850998,-47,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0580823064073962,0.0753597670005247,-46,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0628148159233781,0.11733508744787,-45,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0143904906465805,0.21028715797775,-44,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",-0.0587817430112673,0.231108506364437,-43,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",-0.041490498486067,0.222327517812173,-42,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",-0.0609721308388663,0.222367356512266,-41,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",-0.0714933461968995,0.177790074311355,-40,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",-0.0645274857519989,0.12350809075028,-39,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",-0.0377843404262071,0.154482906156782,-38,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",-0.0146170317807208,0.184986493660035,-37,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.0776099065494229,0.216092769127935,-36,"Community","Kasumigaura","Month","Phytoplankton"
"FDis",0.134820061391091,0.194589902849682,-35,"Community","Kasumigaura","Month","Phytoplankton"
