"FD.metric","measure","x_y.quantile","x_y.obs_value","x_y.median_perm_value","y_x.quantile","y_x.obs_value","y_x.median_perm_value","state.metric","system","res","troph","x_y.sig","y_x.sig"
"FDis","r0.skill",1,0.417538791007411,0.0105423406692576,1,0.29554281369556,0.0236626747069067,"Community","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.434326965161891,0.173545534120645,0.97,0.29554281369556,0.199501981539824,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FDis","t.max.skill",0.926,-1,-35,1,0,-33.5,"Community","Kasumigaura","Month","Phytoplankton","","*"
"FDis","r0.skill",1,0.392344316655257,0.0192945779427406,0.956,0.298982253753891,0.166379580620285,"Density","Kasumigaura","Month","Phytoplankton","*",""
"FDis","max.skill",0.998,0.416238012130786,0.114832854346645,0.994,0.497063334832685,0.360344632694692,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.772,-3,-29,0.24,-54,-44,"Density","Kasumigaura","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.379524043150427,0.00337236761855085,0.982,0.23160458646864,0.0450215298535441,"FI","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.469513461029244,0.148396169106792,0.98,0.363743950244008,0.243732415512635,"FI","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.286,-47,-30.5,0.76,-26,-43,"FI","Kasumigaura","Month","Phytoplankton","",""
"FDis","r0.skill",0.92,0.139223715113427,0.00595898287514529,0.766,0.307331142605644,0.258224721655982,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FDis","max.skill",0.944,0.302516233065255,0.194129115254628,0.212,0.427911898828909,0.461336186834308,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FDis","t.max.skill",0.656,-23,-34,0.084,-60,-49,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.389446385645386,0.010708681301608,1,0.421192513091154,0.0285222877036043,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.396766759657493,0.18064777866614,1,0.421192513091154,0.201376345748806,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.954,-2,-37,1,0,-36,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","","*"
"FEve","r0.skill",1,0.396550157254296,0.0401019225186973,0.972,0.220888169303296,0.0405078551545749,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FEve","max.skill",0.996,0.396550157254296,0.213716067451826,0.956,0.335271176162073,0.221366802692118,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FEve","t.max.skill",1,0,-36,0.93,-5,-35,"Community","Kasumigaura","Month","Phytoplankton","*",""
"FEve","r0.skill",1,0.436992808760054,0.0325288740592912,1,0.699661056425953,0.227072763149468,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FEve","max.skill",0.998,0.547930100428614,0.160399883662803,1,0.699661056425953,0.44556935991048,"Density","Kasumigaura","Month","Phytoplankton","*","*"
"FEve","t.max.skill",0.07,-60,-40,1,0,-43,"Density","Kasumigaura","Month","Phytoplankton","","*"
