"FD.metric","x_y.r0","x_y.lag","x_y.skill","y_x.r0","y_x.lag","y_x.skill","state.metric","system","res","troph"
"FDis",-0.0508360585068586,-53,0.151131943969672,-0.124113221558475,11,0.161749950255977,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0398618186469622,5,0.189254298408032,0.0395389310800592,-8,0.149721979235789,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0178153285049938,-39,0.18772829285176,0.0336596447071619,48,0.190167777753531,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0894966362678154,-57,0.184220504392485,0.0532175198168094,23,0.16660098138954,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0469743952639929,53,0.214896056007163,0.0182461227331315,-54,0.195416358540244,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0128424118612177,-45,0.113177583276516,0.0287210429742519,-59,0.181616700727068,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0283345752403925,49,0.186382766425355,-0.0716391419463184,34,0.151528765428068,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0710114601640475,30,0.266743834916886,0.000859431768102733,40,0.189056849351602,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0793913096175208,51,0.167447049084634,0.0803679664485728,-44,0.201087692096157,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0381472118969474,-51,0.158427491626373,-0.0419379309126546,-39,0.154208089448174,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0235978367356044,-19,0.265945112164769,-0.0103137973491803,-36,0.164025459169203,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.120187784545638,45,0.136531833876226,-0.00354898093623407,-6,0.20313878850927,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.00334683429912363,-55,0.20483616274182,-0.0270381863648424,-20,0.111134213325567,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.00368713448009174,34,0.176274615361798,0.128428869266289,2,0.185245510637687,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0407472451197786,-21,0.179553819912361,0.044660268180277,11,0.192166092624239,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0466527085889827,-18,0.172985472461367,-0.0736375398064914,-55,0.185904597877634,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.00412496652142529,-47,0.168502693697858,0.00653169531630118,36,0.180590857386473,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0829325109154573,17,0.130951906283107,0.0728287153282711,52,0.188482642989896,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0659157949041271,24,0.257277495332809,-0.126407456508933,58,0.160009884106066,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.100514578802648,3,0.149568954871631,-0.0438613754113718,17,0.227095677866239,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0286860143233023,-39,0.219374421821526,0.040213508453622,21,0.20181854693507,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.178277993536044,1,0.285636469292651,0.00850500665152402,-5,0.110743014022621,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.154898666995429,43,0.137228491568717,-0.0089956216322222,56,0.192701147144536,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0602856393191652,8,0.198204036554354,-0.00956480387658851,12,0.168565853074152,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0690195001679332,41,0.152375236740313,-0.0267921093859519,56,0.162284489677774,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0803698673052165,-41,0.26299613623891,-0.0793452077002669,50,0.211019891619747,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0500949166963705,-41,0.180333262891888,0.0353025746605039,-46,0.124990759583763,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0124210416243345,16,0.145652209239464,0.0335221989397256,31,0.159348243449547,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0848252442506879,12,0.114631892478598,-0.0224104823208657,-59,0.210860657271885,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0243149564188529,-54,0.126016823569974,-0.0107457379968415,50,0.206298010903693,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.189473132135488,-59,0.24161702646044,-0.0272340926913146,-18,0.175349103975378,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0335489762800862,-35,0.230180477735677,0.128234085974851,48,0.141220373433078,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.00462456213575167,-32,0.12756192093557,0.176800572766827,-4,0.184893941352229,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.104821607783458,43,0.0909655172399742,0.0233789738594949,-40,0.160040528252476,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0140902276639343,-58,0.146410254029131,-0.0367634385754429,48,0.167032366604895,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0121631992460999,50,0.160312378103787,-0.0469325291050343,48,0.121128125264508,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0501776547826799,-6,0.110141411971537,0.0316210636318479,22,0.203479768094991,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.048918209507789,-47,0.212503255456455,0.0278065012635433,50,0.16413165994997,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.00598161630068839,-12,0.24983480018249,0.0704512360877381,-19,0.230187085969565,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0597734204543497,-50,0.189667586100205,-0.0558762482781804,-3,0.17096727314534,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0321743252949737,-54,0.188978143989189,0.180622148141344,59,0.200047210712822,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.110336913131893,49,0.183043915176954,0.0209697089218348,-54,0.198887953703148,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0113847731126007,44,0.227706805468248,0.0187538888665998,56,0.194467446312201,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0163284951569561,-31,0.264557491377028,0.072304885441473,15,0.156273780799286,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0395764182362925,46,0.154996919354211,0.0743960236511464,-52,0.197865963702763,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0625261164038775,48,0.132607423183605,-0.0112539437712222,-8,0.168978594585988,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.116617480181114,-46,0.207741633595329,-0.0299562568615514,30,0.20452476338424,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0698404032487495,-19,0.197522446465153,-0.0502838089759644,-38,0.154205374958341,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0167685716595532,-40,0.143124062021309,-0.0921440338900832,15,0.183468278434029,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0706204447625692,-59,0.210108581687322,0.0573111959738365,-15,0.144676290024275,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0310648614124034,4,0.120360717134625,-0.0337168895503676,31,0.136623482644764,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.00368519808374755,-24,0.106550561974429,-0.00164192857927982,-27,0.193067590087104,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0360422142822306,-47,0.186223124852589,-0.144745296394106,10,0.126349799991526,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.140756382838237,-8,0.193929187983887,0.0311365284929529,-8,0.180097471042669,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0122357089411147,24,0.188507511050421,0.0765654286866587,-19,0.210613249810464,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0779509890609958,-51,0.158777259428104,0.0645636861949075,14,0.160045570950124,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.119016825433028,16,0.15050774736481,-0.051893702738543,38,0.149138568704375,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0297858859203891,36,0.210223082711725,-0.054344679841127,-37,0.1660878219396,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0461231259618169,9,0.154841519503969,0.074830433916347,32,0.153353893607259,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0431790661248399,53,0.151992108770701,0.0119655010105672,-10,0.207242033739025,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.01844878805851,-42,0.181967142735882,-0.0836777187923692,-28,0.157522761899376,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0184380756623386,10,0.155362595801945,0.011101273189906,12,0.11294883744281,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.076832972706818,-6,0.171758915412624,0.0193478991506077,48,0.139868228350865,"Community","Kinneret","Month","Phytoplankton"
