"FD.metric","measure","x_y.quantile","x_y.obs_value","x_y.median_perm_value","y_x.quantile","y_x.obs_value","y_x.median_perm_value","state.metric","system","res","troph","x_y.sig","y_x.sig"
"FDis","r0.skill",1,0.289339660439661,0.00398320417014847,0.996,0.208232786029513,7.8696950726683e-05,"Community","Mendota","Month","Phytoplankton","*","*"
"FDis","max.skill",1,0.404907731236328,0.190278736036403,1,0.42665894869483,0.196007654745706,"Community","Mendota","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.336,-47,-36.5,0.166,-52,-36,"Community","Mendota","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.397974957479941,-0.00637572704019497,1,0.320811310344608,0.0311751641570568,"Density","Mendota","Month","Phytoplankton","*","*"
"FDis","max.skill",0.998,0.397974957479941,0.199220119713771,0.992,0.378485072259882,0.238793962520337,"Density","Mendota","Month","Phytoplankton","*","*"
"FDis","t.max.skill",1,0,-36,0.612,-31,-36,"Density","Mendota","Month","Phytoplankton","*",""
"FDis","r0.skill",0.996,0.297021199918225,-0.00852913083513763,0.012,-0.187787722628116,0.015369182844808,"FI","Mendota","Month","Phytoplankton","*","*"
"FDis","max.skill",0.948,0.335113181095421,0.21106072548642,0.978,0.378785483572832,0.243746456774388,"FI","Mendota","Month","Phytoplankton","","*"
"FDis","t.max.skill",0.334,-46,-35,0.114,-55,-36,"FI","Mendota","Month","Phytoplankton","",""
"FDis","r0.skill",0.832,0.116263812577243,-0.00622430649789196,0.952,0.345304136352152,0.21328653703917,"MVI","Mendota","Month","Phytoplankton","",""
"FDis","max.skill",0.726,0.28873071678259,0.230286255068258,0.982,0.519495518660132,0.407259910728601,"MVI","Mendota","Month","Phytoplankton","","*"
"FDis","t.max.skill",0.778,-10,-35.5,0.986,-3,-41,"MVI","Mendota","Month","Phytoplankton","","*"
"FDis","r0.skill",0.992,0.2255259640991,-0.00744059533734143,1,0.279170851244785,0.00313089202448726,"Z_P.ratio","Mendota","Month","Phytoplankton","*","*"
"FDis","max.skill",0.998,0.384827823273806,0.210367676085273,0.99,0.336870162000477,0.200076472054572,"Z_P.ratio","Mendota","Month","Phytoplankton","*","*"
"FDis","t.max.skill",0.27,-50,-36,0.85,-13,-36.5,"Z_P.ratio","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",1,0.258950762829169,-0.000777766557160358,0.99,0.193666828938359,0.00395649075941061,"Community","Mendota","Month","Phytoplankton","*","*"
"FEve","max.skill",1,0.409795493743919,0.189467435378203,0.954,0.300492570221331,0.20599431564155,"Community","Mendota","Month","Phytoplankton","*",""
"FEve","t.max.skill",0.582,-35,-40,0.724,-28,-39,"Community","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.994,0.208618272281713,-0.0131183943586233,0.712,0.0796681834571721,0.0368200150801397,"Density","Mendota","Month","Phytoplankton","*",""
"FEve","max.skill",0.858,0.259302484265633,0.200102255615711,0.904,0.312859271007831,0.242338455691816,"Density","Mendota","Month","Phytoplankton","",""
"FEve","t.max.skill",0.112,-56,-37,0.11,-57,-38,"Density","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.524,-0.000415068555314224,-0.00597716299974854,0.656,0.0531911156927569,0.0132233736431525,"FI","Mendota","Month","Phytoplankton","",""
"FEve","max.skill",0.748,0.262284574602965,0.212418794158741,0.62,0.252425100456111,0.237405697327368,"FI","Mendota","Month","Phytoplankton","",""
"FEve","t.max.skill",0.252,-48,-32,0.708,-28,-38.5,"FI","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.258,-0.0842365825205036,-0.00897863919840772,0.936,0.316037385878442,0.204831539149992,"MVI","Mendota","Month","Phytoplankton","",""
"FEve","max.skill",0.792,0.306038192391787,0.222923062277529,0.752,0.430187198256497,0.386706359344606,"MVI","Mendota","Month","Phytoplankton","",""
"FEve","t.max.skill",0.726,-16,-33,0.378,-49,-43,"MVI","Mendota","Month","Phytoplankton","",""
"FEve","r0.skill",0.984,0.164224166960442,-0.0108760735684331,0.982,0.147671684785337,0.00400308065817624,"Z_P.ratio","Mendota","Month","Phytoplankton","*","*"
"FEve","max.skill",0.998,0.354682168063457,0.206258324584957,0.678,0.23135646833367,0.209323341253952,"Z_P.ratio","Mendota","Month","Phytoplankton","*",""
"FEve","t.max.skill",0.742,-23,-36,0.022,-60,-38,"Z_P.ratio","Mendota","Month","Phytoplankton","","*"
"FRic","r0.skill",1,0.358369170818302,0.000233277925039408,1,0.412412394987007,0.00627799235906335,"Community","Mendota","Month","Phytoplankton","*","*"
"FRic","max.skill",1,0.375877365420666,0.190803353215328,1,0.441541215059411,0.200967966766469,"Community","Mendota","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.674,-25,-38,0.982,-2,-37.5,"Community","Mendota","Month","Phytoplankton","","*"
"FRic","r0.skill",1,0.337231686643504,-0.0100266884051831,1,0.469247261699528,0.0310033132353175,"Density","Mendota","Month","Phytoplankton","*","*"
"FRic","max.skill",0.978,0.337231686643504,0.197680428400077,1,0.504143698695303,0.22717717310964,"Density","Mendota","Month","Phytoplankton","*","*"
"FRic","t.max.skill",1,0,-39,0.986,-1,-38,"Density","Mendota","Month","Phytoplankton","*","*"
"FRic","r0.skill",0.982,0.18667481339598,-0.00744412184811282,1,0.421286658278281,0.00684688249558825,"FI","Mendota","Month","Phytoplankton","*","*"
"FRic","max.skill",0.982,0.379313234190688,0.208203214206373,0.998,0.421286658278281,0.232229274237851,"FI","Mendota","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.932,-2,-35,1,0,-38,"FI","Mendota","Month","Phytoplankton","","*"
"FRic","r0.skill",0.76,0.0561499746415538,-0.0203017343273922,0.804,0.239182831121673,0.161542302821016,"MVI","Mendota","Month","Phytoplankton","",""
"FRic","max.skill",0.684,0.247496319207338,0.203051681904976,0.592,0.366207554791207,0.354231148985392,"MVI","Mendota","Month","Phytoplankton","",""
"FRic","t.max.skill",0.364,-42,-31.5,0.908,-20,-42,"MVI","Mendota","Month","Phytoplankton","",""
"FRic","r0.skill",0.988,0.169433789928749,-0.00639526501638064,0.82,0.08505361765729,0.00882302622758581,"Z_P.ratio","Mendota","Month","Phytoplankton","*",""
"FRic","max.skill",0.996,0.388778074807022,0.202078497067375,0.996,0.359487033868791,0.197006361948367,"Z_P.ratio","Mendota","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.796,-18,-37,0.07,-58,-37,"Z_P.ratio","Mendota","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.415403686153869,0.00330268967728116,1,0.326915639236336,0.00702957754720706,"Community","Mendota","Month","Zooplankton","*","*"
"FDis","max.skill",1,0.417873378113973,0.212072748360348,1,0.465784510103251,0.217299883807153,"Community","Mendota","Month","Zooplankton","*","*"
"FDis","t.max.skill",0.952,-1,-37,0.976,-3,-36.5,"Community","Mendota","Month","Zooplankton","","*"
"FDis","r0.skill",1,0.431814404624616,-0.0106539858858011,1,0.632248671581071,0.0648535118290533,"Density","Mendota","Month","Zooplankton","*","*"
"FDis","max.skill",1,0.517857249425125,0.218495618009179,1,0.632248671581071,0.278469643986279,"Density","Mendota","Month","Zooplankton","*","*"
"FDis","t.max.skill",0.946,-7,-40,1,0,-38,"Density","Mendota","Month","Zooplankton","","*"
"FDis","r0.skill",0.996,0.306729681926315,0.0139837125337508,0.464,0.0367744798531577,0.0444333695473266,"FI","Mendota","Month","Zooplankton","*",""
"FDis","max.skill",1,0.515559790308557,0.240255786716582,0.994,0.48565663864812,0.312417014555856,"FI","Mendota","Month","Zooplankton","*","*"
"FDis","t.max.skill",0.766,-20,-36,0.632,-32,-38,"FI","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",0.87,0.183553627260805,0.0326851743419277,0.05,0.19217232405802,0.354201466210603,"MVI","Mendota","Month","Zooplankton","",""
"FDis","max.skill",0.698,0.342233419294312,0.285824412075075,0.292,0.545036011631432,0.571137635245729,"MVI","Mendota","Month","Zooplankton","",""
"FDis","t.max.skill",0.746,-17,-36,0.584,-38,-41,"MVI","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",1,0.448976569803088,0.0161024298220374,0.822,0.0970683065429361,0.0146934076625687,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FDis","max.skill",1,0.448976569803088,0.225248211125056,0.514,0.229574938406806,0.228186954990573,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FDis","t.max.skill",1,0,-36,0.908,-10,-36,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FEve","r0.skill",0.988,0.191364075384941,-0.00103614043100223,0.966,0.175350395479692,0.0153549092456743,"Community","Mendota","Month","Zooplankton","*",""
"FEve","max.skill",1,0.395019470920577,0.192523515654424,0.832,0.269011303848421,0.208066599625157,"Community","Mendota","Month","Zooplankton","*",""
"FEve","t.max.skill",0.886,-4,-35,0.742,-24,-37,"Community","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",1,0.269093500518584,-0.00584960034131594,0.998,0.305259698813425,0.0389144407971879,"Density","Mendota","Month","Zooplankton","*","*"
"FEve","max.skill",0.996,0.428326339472586,0.20407274761185,0.886,0.315960103606003,0.247321497110058,"Density","Mendota","Month","Zooplankton","*",""
"FEve","t.max.skill",0.942,-4,-39,0.942,-9,-38,"Density","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",1,0.341270396113378,-0.00327274422025376,0.858,0.121248572140296,0.0227576193444106,"FI","Mendota","Month","Zooplankton","*",""
"FEve","max.skill",0.968,0.36124292495922,0.216315823989078,0.698,0.283179880527446,0.256084592962731,"FI","Mendota","Month","Zooplankton","",""
"FEve","t.max.skill",0.944,-1,-32,0.81,-21,-38,"FI","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",0.984,0.272487000318085,0.00634884022493566,0.862,0.335053484196606,0.250607891247397,"MVI","Mendota","Month","Zooplankton","*",""
"FEve","max.skill",0.854,0.34712834840164,0.236469895896897,0.982,0.56869337281299,0.449599088826068,"MVI","Mendota","Month","Zooplankton","","*"
"FEve","t.max.skill",0.674,-22,-34.5,0.264,-52,-43,"MVI","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",0.998,0.270706152314469,0.00636241798360064,0.392,-0.00793111178379682,0.018833367273055,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FEve","max.skill",0.994,0.37776095853752,0.205738444773567,0.746,0.243553804016174,0.207169263458224,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FEve","t.max.skill",0.926,-4,-37,0.806,-16,-36,"Z_P.ratio","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",0.998,0.351622476627702,-0.00798426267640434,1,0.327896530772267,0.00227962239707534,"Community","Mendota","Month","Zooplankton","*","*"
"FRic","max.skill",1,0.542394550564156,0.189594363712296,1,0.512372426141008,0.199418021937052,"Community","Mendota","Month","Zooplankton","*","*"
"FRic","t.max.skill",0.056,-59,-36,0.872,-11,-37,"Community","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",1,0.420198761462448,-0.000697871846747433,0.998,0.265064181267787,0.0397231089284259,"Density","Mendota","Month","Zooplankton","*","*"
"FRic","max.skill",1,0.521395194297882,0.201867456094858,1,0.493986954177968,0.244666732054072,"Density","Mendota","Month","Zooplankton","*","*"
"FRic","t.max.skill",0.882,-9,-37,0.852,-15,-40,"Density","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",1,0.475042616343826,-0.00861575187067655,0.588,0.0436500284969855,0.0208475157118766,"FI","Mendota","Month","Zooplankton","*",""
"FRic","max.skill",0.998,0.475042616343826,0.216709671578408,0.978,0.361532015898833,0.244956984042805,"FI","Mendota","Month","Zooplankton","*","*"
"FRic","t.max.skill",1,0,-34,0.24,-52,-39,"FI","Mendota","Month","Zooplankton","*",""
"FRic","r0.skill",0.906,0.147778936160086,-0.00629897045673645,0.878,0.303175073360105,0.210935581535152,"MVI","Mendota","Month","Zooplankton","",""
"FRic","max.skill",0.816,0.306378514591802,0.217230470451301,0.996,0.540194398683438,0.409890006812146,"MVI","Mendota","Month","Zooplankton","","*"
"FRic","t.max.skill",0.042,-60,-32,0.556,-41,-42,"MVI","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",1,0.444916274826582,-0.00999042466680783,1,0.347186109759981,0.00688681874980865,"Z_P.ratio","Mendota","Month","Zooplankton","*","*"
"FRic","max.skill",1,0.510695582949359,0.199992266786539,1,0.483905451300916,0.20701461518401,"Z_P.ratio","Mendota","Month","Zooplankton","*","*"
"FRic","t.max.skill",0.954,-1,-35,0.858,-14,-38,"Z_P.ratio","Mendota","Month","Zooplankton","",""
