"FD.metric","x_y","y_x","tp","state.metric","system","res","troph"
"FDis",-0.10308176314838,0.144367915398501,-60,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.15886390576817,0.0361938460454865,-59,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.123361988107517,-0.134764924846983,-58,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0141773114603921,-0.0908039772636517,-57,"Community","Windermere","Month","Phytoplankton"
"FDis",0.00878331964979112,0.0486142638509371,-56,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0105396294782174,0.0331586072242417,-55,"Community","Windermere","Month","Phytoplankton"
"FDis",0.16907290470072,0.114832086167276,-54,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0425738015544849,-0.0265383042737587,-53,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0148549901899815,0.083816058100604,-52,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.119674965378801,-0.0400504260082881,-51,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0137004915341201,-0.0329616024974632,-50,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.116124775207803,-0.0112171675697769,-49,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0308333743057924,-0.0237552408085542,-48,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0479854901147028,-0.000639382446408762,-47,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.133032253465378,0.0368109742604235,-46,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0844072680350906,-0.0110408409451643,-45,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.133458000961355,-0.0914337527166213,-44,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.162147490663946,0.0678237837722291,-43,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0380724497896767,0.0615954505537322,-42,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0563748743842098,-0.0554213440691738,-41,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.111451602587415,-0.0894930860103315,-40,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0431393096379027,-0.0621939347145121,-39,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.153048325309241,0.0613473696462653,-38,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0431739588082328,0.0994654497616057,-37,"Community","Windermere","Month","Phytoplankton"
"FDis",0.102405289946531,0.141654426680588,-36,"Community","Windermere","Month","Phytoplankton"
