"FD.metric","measure","x_y.quantile","x_y.obs_value","x_y.median_perm_value","y_x.quantile","y_x.obs_value","y_x.median_perm_value","state.metric","system","res","troph","x_y.sig","y_x.sig"
"FDis","r0.skill",0.58,0.010512388004598,-0.00682095115929542,0.908,0.100639319766012,-0.00765903037384863,"Community","Windermere","Month","Phytoplankton","",""
"FDis","max.skill",0.634,0.219339544514737,0.204327230389021,0.624,0.209684784742215,0.196347028857918,"Community","Windermere","Month","Phytoplankton","",""
"FDis","t.max.skill",0.34,-34,-15.5,0.38,-31,-14.5,"Community","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.008,-0.196003749112961,-0.0175559360038347,0.988,0.191489835579826,0.00921986817911951,"Density","Windermere","Month","Phytoplankton","","*"
"FDis","max.skill",0.92,0.395689740798938,0.263875620464491,0.838,0.274078825443529,0.228948042553774,"Density","Windermere","Month","Phytoplankton","",""
"FDis","t.max.skill",0.71,24,-3.5,0.568,-1,-14,"Density","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.478,-0.00179482372901735,0.00239250270159264,0.512,0.0502947728289563,0.0453683650146335,"FI","Windermere","Month","Phytoplankton","",""
"FDis","max.skill",0.088,0.195742348699875,0.278641497567924,0.05,0.191458032150447,0.258181292770135,"FI","Windermere","Month","Phytoplankton","",""
"FDis","t.max.skill",0.4,-29,-18,0.81,47,2,"FI","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.512,0.00846734489685809,0.00689429470634211,0.664,0.193427343522318,0.160020802696084,"MVI","Windermere","Month","Phytoplankton","",""
"FDis","max.skill",0.544,0.282043346806663,0.274388304581867,0.956,0.457111496264062,0.358601711526119,"MVI","Windermere","Month","Phytoplankton","","*"
"FDis","t.max.skill",0.952,55,-5.5,0.226,-49,-27,"MVI","Windermere","Month","Phytoplankton","*",""
"FDis","r0.skill",0.284,-0.0645602789488623,-0.00205535722211225,0.996,0.202699393624335,0.0138499080220658,"Z_P.ratio","Windermere","Month","Phytoplankton","","*"
"FDis","max.skill",0.91,0.372646943540979,0.258587447266272,0.904,0.287703263434584,0.226752842810966,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FDis","t.max.skill",0.7,24,-8.5,0.576,2,-15,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FEve","r0.skill",0.82,0.0811354878597581,-0.000316177303666934,0.504,-0.00806585799851756,-0.00904486152413223,"Community","Windermere","Month","Phytoplankton","",""
"FEve","max.skill",0.592,0.218022615390542,0.20665346896676,0.152,0.15182517307765,0.189833483566701,"Community","Windermere","Month","Phytoplankton","",""
"FEve","t.max.skill",0.782,34,-13,0.37,-33,-14,"Community","Windermere","Month","Phytoplankton","",""
"FEve","r0.skill",0.84,0.125789971177648,0.0193264690188017,0.772,0.10829105804085,0.0393950548669931,"Density","Windermere","Month","Phytoplankton","",""
"FEve","max.skill",0.732,0.34951346055696,0.291535243120381,0.554,0.259949678739559,0.255056573265478,"Density","Windermere","Month","Phytoplankton","",""
"FEve","t.max.skill",0.792,39,-1.5,0.67,20,-15.5,"Density","Windermere","Month","Phytoplankton","",""
"FEve","r0.skill",0.68,0.0922305029369996,0.022823840989691,0.142,-0.027249573021552,0.0676737026647842,"FI","Windermere","Month","Phytoplankton","",""
"FEve","max.skill",0.446,0.287187649593348,0.297499174523824,0.728,0.313190027114712,0.280771294223222,"FI","Windermere","Month","Phytoplankton","",""
"FEve","t.max.skill",0.062,-58,-15,0.082,-54,7,"FI","Windermere","Month","Phytoplankton","",""
"FEve","r0.skill",0.906,0.229057698457097,0.0306903997508909,0.806,0.245106322261834,0.177683085949281,"MVI","Windermere","Month","Phytoplankton","",""
"FEve","max.skill",0.88,0.458809177686672,0.346194288785571,0.916,0.458842866277919,0.382086691625897,"MVI","Windermere","Month","Phytoplankton","",""
"FEve","t.max.skill",0.202,-42,1,0.284,-37,-14,"MVI","Windermere","Month","Phytoplankton","",""
"FEve","r0.skill",0.94,0.182415040769952,-0.00154011202280424,0.732,0.0762213290543587,0.0222238197489896,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FEve","max.skill",0.432,0.262909227551451,0.27416117893982,0.804,0.283382729718358,0.243306623223978,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FEve","t.max.skill",0.808,38,-7.5,0.942,56,-9,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FRic","r0.skill",0.388,-0.000318046185812673,0.0236789224296705,0.162,-0.0867995411584616,-0.0128185069373478,"Community","Windermere","Month","Phytoplankton","",""
"FRic","max.skill",0.234,0.202302364451692,0.226144428682986,0.874,0.280377496907008,0.213970523400131,"Community","Windermere","Month","Phytoplankton","",""
"FRic","t.max.skill",0.512,-19,-21,0.054,-56,-11.5,"Community","Windermere","Month","Phytoplankton","",""
"FRic","r0.skill",0.958,0.266692111261385,0.0273367586279028,0.438,0.0361346168379194,0.049345652974539,"Density","Windermere","Month","Phytoplankton","*",""
"FRic","max.skill",0.602,0.361962984053295,0.338136612390719,0.048,0.227405160792954,0.298756210242458,"Density","Windermere","Month","Phytoplankton","",""
"FRic","t.max.skill",0.076,-56,-3,0.48,-17,-13,"Density","Windermere","Month","Phytoplankton","",""
"FRic","r0.skill",0.594,0.110268299269347,0.0842464864687161,0.144,-0.0259899379720925,0.0883722707316208,"FI","Windermere","Month","Phytoplankton","",""
"FRic","max.skill",0.954,0.496261673736401,0.358524619932657,0.976,0.457208807854022,0.341119470170219,"FI","Windermere","Month","Phytoplankton","*","*"
"FRic","t.max.skill",1,60,-22,0.892,53,5,"FI","Windermere","Month","Phytoplankton","*",""
"FRic","r0.skill",0.896,0.193973155146994,0.0326386193642199,0.65,0.319736941059929,0.288296171441561,"MVI","Windermere","Month","Phytoplankton","",""
"FRic","max.skill",0.832,0.406018980341274,0.325971603220063,0.898,0.582638355682112,0.521370503417389,"MVI","Windermere","Month","Phytoplankton","",""
"FRic","t.max.skill",0.622,17,-5,0.576,-29,-34,"MVI","Windermere","Month","Phytoplankton","",""
"FRic","r0.skill",0.964,0.249682065646715,0.033991735821907,0.002,-0.22578083380597,0.0346495365401687,"Z_P.ratio","Windermere","Month","Phytoplankton","*",""
"FRic","max.skill",0.516,0.317111621663686,0.314222277464053,0.984,0.42876292948494,0.288042886325992,"Z_P.ratio","Windermere","Month","Phytoplankton","","*"
"FRic","t.max.skill",0.142,-50,-4,0.942,56,-17,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.15,-0.0805784236428236,0.0101253037299565,0.976,0.166226961529446,-0.00260531732928582,"Community","Windermere","Month","Zooplankton","","*"
"FDis","max.skill",0.888,0.273798653585388,0.216425941088317,0.8,0.25689849224726,0.215682341712542,"Community","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.528,-10,-13,0.548,5,-6,"Community","Windermere","Month","Zooplankton","",""
"FDis","r0.skill",0.41,-0.0214439025498687,0.001739661127181,0.822,0.100419745565543,0.0161078820489039,"Density","Windermere","Month","Zooplankton","",""
"FDis","max.skill",0.828,0.372739953599593,0.294262206526734,0.63,0.276086278761053,0.259868641314661,"Density","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.774,36,-7.5,0.36,-37,-21.5,"Density","Windermere","Month","Zooplankton","",""
"FDis","r0.skill",0.644,0.107623081700073,0.0603756601524063,0.44,0.0682355661702927,0.0869542688249442,"FI","Windermere","Month","Zooplankton","",""
"FDis","max.skill",0.272,0.295480020020704,0.340594220127664,0.438,0.319008331727054,0.328065664428687,"FI","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.988,59,-17,0.836,48,7.5,"FI","Windermere","Month","Zooplankton","*",""
"FDis","r0.skill",0.244,-0.0735467095510814,0.0103520090084829,0.746,0.316941818438565,0.254885493729421,"MVI","Windermere","Month","Zooplankton","",""
"FDis","max.skill",0.12,0.218242306981481,0.290256427226521,0.498,0.486190500690972,0.486939263754113,"MVI","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.912,53,-8.5,0.618,-23,-35,"MVI","Windermere","Month","Zooplankton","",""
