"FD.metric","measure","quantile.x_y","obs.value.x_y","median.perm.value.x_y","quantile.y_x","obs.value.y_x","median.perm.value.y_x","state.metric","system","res","troph","sig.x_y","sig.y_z"
"FDis","r0.skill",0.476,-0.0142088316963982,-0.010329173212006,1,0.227039174988914,-0.00211436950519992,"Community","Windermere","Month","Phytoplankton","","*"
"FDis","absmax.skill",0.988,0.357500767099616,0.119788918837519,0.95,0.27444791913421,0.113419402869453,"Community","Windermere","Month","Phytoplankton","*",""
"FDis","t.absmax.skill",0.208,-44,0,0.468,-1,0,"Community","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.976,0.154181278401982,-0.00915423993439994,0.978,0.151477603704802,-0.00584446733801976,"Density","Windermere","Month","Phytoplankton","*","*"
"FDis","absmax.skill",0.994,0.368068793678606,0.125122367457531,0.974,0.293935000278212,0.048221219099839,"Density","Windermere","Month","Phytoplankton","*",""
"FDis","t.absmax.skill",0.39,-25,0,0.092,-53,0,"Density","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.774,0.0591754633400098,-0.000681068170528326,0.124,-0.0516430470155842,0.0407357431023448,"FI","Windermere","Month","Phytoplankton","",""
"FDis","absmax.skill",0.73,0.233156555371186,0.0974841394833719,0.784,0.286859558979065,0.2546431602068,"FI","Windermere","Month","Phytoplankton","",""
"FDis","t.absmax.skill",0.312,-27,0,0.242,-52,-37,"FI","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.59,0.0104292545100012,-0.0100340562123878,0.932,0.284015064077704,0.171773364691989,"MVI","Windermere","Month","Phytoplankton","",""
"FDis","absmax.skill",0.312,0.0104292545100012,0.130573012358889,1,0.553830116712682,0.384857250910796,"MVI","Windermere","Month","Phytoplankton","","*"
"FDis","t.absmax.skill",1,0,0,0.438,-48,-45,"MVI","Windermere","Month","Phytoplankton","*",""
"FDis","r0.skill",0.924,0.113867432709761,-0.0139393669410215,0.956,0.149359729100471,0.0013091589457417,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FDis","absmax.skill",0.898,0.275612616866216,0.0991922722115936,0.496,0.149359729100471,0.161481284785814,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
