"FD.metric","measure","lag","F.value","P.value","sig","causality.direc","state.metric","system","res"
"FDis","x_y",2,14.6041639416535,0.000674133786252029,"*","forward","density","Kinneret","Month"
"FDis","y_x",10,20.6161583487952,0.0239349482187463,"*","reverse","FI","Kinneret","Month"
"FDis","y_x",13,31.2394751883186,0.00311005297717226,"*","reverse","mvi","Kinneret","Month"
"FDis","y_x",2,25.1318159082219,3.48895618418332e-06,"*","reverse","zp.ratio","Kinneret","Month"
"FEve","y_x",2,8.80864438327604,0.0122243894007437,"*","reverse","density","Kinneret","Month"
"FEve","x_y",7,15.6561430006474,0.0284504219241711,"*","forward","FI","Kinneret","Month"
"FEve","y_x",3,13.5169591819624,0.00364213899246224,"*","reverse","mvi","Kinneret","Month"
"FEve","y_x",2,14.2570426623932,0.000801904262073494,"*","reverse","zp.ratio","Kinneret","Month"
"FRic","y_x",9,25.0217612585333,0.0029472024526741,"*","reverse","zp.ratio","Kinneret","Month"
"zooFDis","x_y",1,4.55125321981928,0.0328946614609843,"*","forward","community","Kinneret","Month"
"zooFDis","y_x",1,6.55375174759156,0.0104663236862577,"*","reverse","community","Kinneret","Month"
"zooFDis","y_x",2,6.07094351876238,0.0480519885512194,"*","reverse","mvi","Kinneret","Month"
"zooFRic","x_y",18,30.8456342014779,0.0299928013788626,"*","forward","mvi","Kinneret","Month"
"FDis","y_x",2,7.44649633104757,0.0241553796097255,"*","reverse","FI","Mendota","Month"
"FEve","y_x",2,9.33131561157827,0.00941305422494676,"*","reverse","community","Mendota","Month"
"FRic","y_x",1,4.09149952418919,0.0430993889809534,"*","reverse","community","Mendota","Month"
"zooFDis","y_x",60,90.3476374155772,0.00685847323651423,"*","reverse","community","Mendota","Month"
"zooFDis","x_y",3,8.17989728767201,0.0424364631929787,"*","forward","FI","Mendota","Month"
"zooFDis","y_x",26,54.4574853220542,0.000888700096727812,"*","reverse","mvi","Mendota","Month"
"zooFEve","y_x",60,98.2663725568342,0.00134100784523128,"*","reverse","community","Mendota","Month"
"zooFEve","x_y",2,9.06913685319865,0.0107315376734608,"*","forward","zp.ratio","Mendota","Month"
"zooFRic","x_y",60,85.2810446248262,0.0176614353647391,"*","forward","community","Mendota","Month"
