"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FDis","rmin.ccf",0.4053,-0.111743909315675,-0.107315018950255,-0.0044288903654198,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.7267,21,-3,24,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.889,0.131148874685615,0.107217330706907,0.0239315439787077,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.6515,12,-4,16,"Community","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.977,0.0864661236864765,-0.0013106448368697,0.0877767685233462,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0.8979,0.131148874685615,-0.0881152764941042,0.219264151179719,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.absmax.ccf",0.6581,12,-4,16,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.661456196899958,-0.107525723902534,-0.553930472997424,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.5424,0,-4,4,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.993,0.16350343674738,0.107774072190812,0.0557293645565679,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.4989,-6,-5,-1,"Density","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0,-0.661456196899958,-0.00132913044859037,-0.660127066451368,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.661456196899958,0.0818943842946013,-0.74335058119456,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.5572,0,-5,5,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.0163,-0.164110845912157,-0.114148305116176,-0.0499625407959803,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.2935,-24,0,-24,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.7381,0.126266086340259,0.114166608140979,0.0120994781992796,"FI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.2215,-32,0,-32,"FI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.2518,-0.0290083727310367,0.00203403198798362,-0.0310424047190203,"FI","Kinneret","Month","Phytoplankton",""
"FDis","absmax.ccf",0.0159,-0.164110845912157,0.0855716925544321,-0.249682538466589,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.29,-24,0,-24,"FI","Kinneret","Month","Phytoplankton",""
