"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FDis","rmin.ccf",0,-0.359043866457518,-0.11594692542445,-0.243096941033068,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.4787,6,9,-3,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.013,0.013518900787226,0.124479329018809,-0.110960428231583,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.131,-48,-3,-45,"Community","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",4e-04,-0.243725269338933,0.0134672781565112,-0.257192547495444,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.359043866457518,0.109766827874426,-0.468810694331943,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.5212,6,4,2,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.828202779619057,-0.11442434594333,-0.713778433675726,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.4511,0,6,-6,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.027,0.0173118722309044,0.118944335000391,-0.101632462769487,"Density","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.0653,-54,-4,-50,"Density","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0,-0.828202779619057,0.0145963706567237,-0.84279915027578,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.828202779619057,0.100879395904687,-0.929082175523743,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.4957,0,1,-1,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.9996,0.0361136229953056,-0.127835324250294,0.163948947245599,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.1395,-50,0,-50,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",1,0.440538042312363,0.12985475865364,0.310683283658723,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.552,6,-1,7,"FI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.9996,0.265832816424987,0.00387229033113719,0.26196052609385,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",1,0.440538042312363,0.0985158307124812,0.342022211599881,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.5502,6,0,6,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.468519349373838,-0.0986075900980382,-0.3699117592758,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.506,10,10,0,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0,-0.132194592660125,0.106870098575636,-0.239064691235761,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.0358,-60,-4,-56,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0,-0.45271906692231,0.0196374734501463,-0.472356540372456,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.468519349373838,0.0913828373234127,-0.559902186697251,"MVI","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.5615,10,3,7,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.8833,-0.0553919223915975,-0.115326414890474,0.0599344924988763,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.058,-54,-4,-50,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",1,0.710162943963061,0.107925156426091,0.60223778753697,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.4004,0,11,-11,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",1,0.710162943963061,-0.018203280329448,0.728366224292509,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",1,0.710162943963061,-0.102039741496836,0.812202685459896,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.4674,0,4,-4,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.0014,-0.217139988572168,-0.0992040747681893,-0.117935913803979,"Community","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.6221,18,4,14,"Community","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0.3919,0.0916868574306217,0.102096480267258,-0.0104096228366364,"Community","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.2976,-27,-2,-25,"Community","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",9e-04,-0.166107664497635,0.00349648925253422,-0.169604153750169,"Community","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0.0014,-0.217139988572168,0.08314045651162,-0.300280445083788,"Community","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.6332,18,3,15,"Community","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0,-0.313570356771609,-0.0978605968500379,-0.215709759921571,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.4726,-1,3,-4,"Density","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",1e-04,-0.0362534836711123,0.0992802814328956,-0.135533765104008,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.0405,-57,-2,-55,"Density","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0,-0.296284705191757,0.0047018609243896,-0.300986566116147,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0,-0.313570356771609,0.0806698061575556,-0.394240162929165,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.4871,-1,1,-2,"Density","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",1,0.0614592558385014,-0.102071001424003,0.163530257262505,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.3684,-19,1,-20,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",1,0.288368388398286,0.102753209598635,0.185615178799651,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.6028,14,0,14,"FI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",1,0.244573601751772,0.00154255608256845,0.243031045669203,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",1,0.288368388398286,0.0720695479746498,0.216298840423637,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.6103,14,1,13,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0,-0.287483848144201,-0.0732447861936466,-0.214239061950554,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.6487,23,5,18,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0,-0.0845907450063927,0.0757628443960955,-0.160353589402488,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.1721,-42,-2,-40,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",2e-04,-0.194770514263651,0.00603018710052538,-0.200800701364177,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0,-0.287483848144201,0.058693714795955,-0.346177562940156,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.6765,23,4,19,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.9327,-0.0467929426037089,-0.0983666636800094,0.0515737210763004,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.0282,-58,-2,-56,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",1,0.242899136009804,0.0962672714790965,0.146631864530708,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
